NXP Semiconductors PE Ratio Historical Data,NXP Semiconductors PE Ratio Historical Data,NXP Semiconductors PE Ratio Historical Data,NXP Semiconductors PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,277.17,,25.59
2024-03-31,247.77,$10.83,22.88
2023-12-31,228.72,$10.71,21.36
2023-09-30,198.17,$10.79,18.37
2023-06-30,201.86,$10.57,19.1
2023-03-31,182.96,$10.43,17.54
2022-12-31,154.18,$10.56,14.6
2022-09-30,143.21,$10.04,14.26
2022-06-30,142.96,$9.16,15.61
2022-03-31,177.84,$8.05,22.09
2021-12-31,217.8,$6.82,31.94
2021-09-30,186.81,$5.66,33.01
2021-06-30,195.69,$3.67,53.32
2021-03-31,190.99,$1.48,129.05
2020-12-31,150.38,$0.15,1002.5
2020-09-30,117.75,$-0.53,0.0
2020-06-30,107.27,$-0.07,0.0
2020-03-31,77.73,$0.84,92.54
2019-12-31,118.82,$0.85,139.79
2019-09-30,101.58,$1.39,73.08
2019-06-30,90.56,$6.61,13.7
2019-03-31,81.79,$6.63,12.34
2018-12-31,67.62,$6.87,9.84
2018-09-30,78.65,$6.07,12.96
2018-06-30,100.24,$4.26,23.53
2018-03-31,107.33,$4.47,24.01
2017-06-30,100.41,$4.56,22.02
2017-03-31,94.95,$4.38,21.68
2016-12-31,89.91,$-0.57,0.0
2016-09-30,93.58,$2.62,35.72
2016-06-30,71.87,$4.53,15.86
2016-03-31,74.37,$6.06,12.27
2015-12-31,77.29,$8.45,9.15
2017-12-31,107.41,$4.43,24.25
2015-09-30,79.88,$2.87,27.83
2015-06-30,90.09,$1.87,48.17
2015-03-31,92.07,$1.28,71.93
2014-12-31,70.09,$2.17,32.3
2014-09-30,62.78,$1.93,32.53
2014-06-30,60.71,$2.04,29.76
2014-03-31,53.95,$1.83,29.48
2013-12-31,42.13,$1.34,31.44
2013-09-30,34.14,$0.50,68.27
2013-06-30,28.46,$0.35,81.31
2013-03-31,27.79,$0.25,111.15
2012-12-31,24.15,$0.21,114.98
2012-09-30,22.94,$-0.05,0.0
2012-06-30,21.31,$-0.19,0.0
2012-03-31,24.41,$0.69,35.38
2011-12-31,14.1,$1.12,12.59
2017-09-30,103.75,$2.58,40.21
2011-09-30,12.95,$1.80,7.2
2011-06-30,24.52,$2.14,11.46
