Dover PE Ratio Historical Data,Dover PE Ratio Historical Data,Dover PE Ratio Historical Data,Dover PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,184.18,,17.69
2024-03-31,177.19,$10.41,17.02
2023-12-31,153.33,$7.52,20.39
2023-09-30,138.58,$7.28,19.04
2023-06-30,146.16,$7.22,20.24
2023-03-31,149.85,$7.50,19.98
2022-12-31,133.1,$7.43,17.91
2022-09-30,114.18,$8.05,14.18
2022-06-30,118.35,$7.86,15.06
2022-03-31,152.49,$7.68,19.86
2021-12-31,175.94,$7.73,22.76
2021-09-30,150.22,$6.49,23.15
2021-06-30,145.07,$6.06,23.94
2021-03-31,131.66,$5.10,25.82
2020-12-31,120.74,$4.70,25.69
2020-09-30,103.2,$4.60,22.43
2020-06-30,91.57,$4.62,19.82
2020-03-31,79.2,$5.11,15.5
2019-12-31,108.25,$4.62,23.43
2019-09-30,93.1,$4.43,21.01
2019-06-30,93.2,$4.08,22.84
2019-03-31,86.79,$3.64,23.84
2018-12-31,65.3,$3.76,17.37
2018-09-30,81.48,$4.68,17.41
2018-06-30,66.99,$4.77,14.04
2018-03-31,71.84,$4.90,14.66
2017-12-31,73.53,$5.15,14.28
2017-09-30,66.22,$4.30,15.4
2017-06-30,57.8,$3.99,14.49
2017-03-31,57.58,$3.71,15.52
2016-12-31,53.41,$3.26,16.38
2016-09-30,52.16,$3.14,16.61
2016-06-30,48.81,$3.50,13.95
2016-03-31,45.01,$4.81,9.36
2015-12-31,42.61,$5.45,7.82
2015-09-30,39.48,$5.56,7.1
2015-06-30,48.12,$5.75,8.37
2015-03-31,47.15,$4.95,9.52
2014-12-31,48.66,$4.60,10.58
2014-09-30,54.23,$4.71,11.51
2014-06-30,61.13,$4.89,12.5
2014-03-31,54.71,$5.53,9.89
2013-12-31,53.57,$5.80,9.24
2013-09-30,49.64,$5.56,8.93
2013-06-30,42.73,$5.31,8.05
2013-03-31,39.92,$4.55,8.77
2012-12-31,35.82,$4.84,7.4
2012-09-30,32.25,$4.86,6.64
2012-06-30,28.89,$4.87,5.93
2011-12-31,30.96,$4.75,6.52
2011-09-30,24.71,$4.30,5.75
2011-06-30,35.75,$4.44,8.05
2011-03-31,34.51,$4.31,8.01
2010-12-31,30.55,$4.18,7.31
2012-03-31,33.73,$3.72,9.07
2010-09-30,27.16,$3.20,8.49
2010-06-30,21.61,$2.59,8.34
2010-03-31,24.03,$2.21,10.87
2009-12-31,21.26,$1.92,11.07
