Cincinnati Financial PE Ratio Historical Data,Cincinnati Financial PE Ratio Historical Data,Cincinnati Financial PE Ratio Historical Data,Cincinnati Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,117.68,,7.83
2024-03-31,124.17,$15.03,8.26
2023-12-31,102.76,$11.67,8.81
2023-09-30,100.85,$10.57,9.54
2023-06-30,95.29,$8.56,11.13
2023-03-31,108.92,$0.12,907.69
2022-12-31,98.84,$-3.00,0.0
2022-09-30,85.89,$-0.36,0.0
2022-06-30,113.31,$3.22,35.19
2022-03-31,128.69,$12.59,10.22
2021-12-31,107.28,$18.11,5.92
2021-09-30,106.97,$15.54,6.88
2021-06-30,108.64,$17.59,6.18
2021-03-31,95.54,$18.91,5.05
2020-12-31,80.49,$7.53,10.69
2020-09-30,71.3,$4.85,14.7
2020-06-30,58.1,$3.35,17.34
2020-03-31,67.81,$1.94,34.96
2019-12-31,93.84,$6.72,13.97
2019-09-30,103.57,$6.31,16.41
2019-03-31,75.47,$6.14,12.29
2018-12-31,67.58,$1.73,39.06
2018-09-30,66.58,$8.39,7.94
2018-06-30,57.57,$7.60,7.57
2018-03-31,63.45,$6.89,9.21
2017-12-31,63.61,$7.68,8.28
2019-06-30,91.58,$5.01,18.28
2017-09-30,64.1,$3.02,21.22
2017-06-30,60.25,$3.49,17.26
2017-03-31,59.69,$3.63,16.44
2016-12-31,62.15,$3.55,17.51
2016-09-30,61.49,$3.89,15.81
2016-06-30,60.67,$3.86,15.72
2016-03-31,52.59,$4.18,12.58
2015-12-31,47.26,$3.82,12.37
2015-09-30,42.32,$3.90,10.85
2015-06-30,39.13,$3.96,9.88
2015-03-31,41.17,$3.41,12.07
2014-12-31,39.71,$3.20,12.41
2014-09-30,35.74,$2.92,12.24
2014-06-30,36.16,$2.60,13.91
2014-03-31,36.29,$2.75,13.2
2013-12-31,38.7,$3.13,12.36
2013-09-30,34.56,$3.56,9.71
2013-06-30,33.35,$3.45,9.67
2013-03-31,34.0,$2.99,11.37
2012-12-31,27.95,$2.58,10.83
2012-09-30,26.76,$2.24,11.94
2012-06-30,26.62,$1.68,15.85
2012-03-31,23.87,$1.18,20.23
2011-12-31,20.83,$1.03,20.23
2011-09-30,17.76,$0.97,18.31
2011-06-30,19.39,$1.80,10.77
2011-03-31,21.49,$2.27,9.47
2010-12-31,20.52,$2.31,8.88
2010-09-30,18.43,$3.04,6.06
2010-06-30,16.32,$3.14,5.2
2010-03-31,17.98,$2.85,6.31
2009-12-31,16.1,$2.65,6.07
