Agilent Technologies PE Ratio Historical Data,Agilent Technologies PE Ratio Historical Data,Agilent Technologies PE Ratio Historical Data,Agilent Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,150.66,,35.87
2024-01-31,129.89,$4.20,30.93
2023-10-31,103.03,$4.21,24.47
2023-07-31,121.12,$3.82,31.71
2023-04-30,134.46,$4.54,29.62
2023-01-31,150.74,$4.43,34.03
2022-10-31,136.93,$4.17,32.84
2022-07-31,132.5,$4.39,30.18
2022-04-30,117.64,$4.15,28.35
2022-01-31,137.2,$3.94,34.82
2021-10-31,154.89,$3.94,39.31
2021-07-31,150.51,$3.20,47.03
2021-04-30,131.09,$2.98,43.99
2021-01-31,117.7,$2.60,45.27
2020-10-31,99.83,$2.30,43.41
2020-07-31,94.04,$2.21,42.55
2020-04-30,74.68,$2.17,34.41
2020-01-31,80.23,$2.42,33.15
2019-10-31,73.46,$3.36,21.86
2019-07-31,67.16,$3.35,20.05
2019-04-30,75.8,$3.48,21.78
2019-01-31,73.28,$3.54,20.7
2018-10-31,62.28,$0.98,63.55
2018-07-31,63.35,$0.91,69.61
2018-04-30,62.91,$0.72,87.37
2018-01-31,70.1,$0.59,118.82
2017-10-31,64.8,$2.10,30.86
2017-07-31,56.84,$1.94,29.3
2017-04-30,52.22,$1.78,29.33
2017-01-31,46.33,$1.56,29.7
2016-10-31,41.1,$1.41,29.15
2016-07-31,45.28,$1.45,31.23
2016-04-30,38.41,$1.38,27.83
2016-01-31,35.24,$1.35,26.1
2015-10-31,35.25,$1.19,29.62
2015-07-31,38.11,$0.82,46.48
2015-04-30,38.41,$0.94,40.86
2015-01-31,34.98,$1.10,31.8
2014-10-31,36.91,$1.47,25.11
2014-07-31,37.37,$2.05,18.23
2014-04-30,35.92,$2.11,17.02
2014-01-31,38.56,$2.18,17.69
2013-10-31,33.58,$2.11,15.92
2013-07-31,29.52,$2.68,11.02
2013-04-30,27.28,$2.88,9.47
2013-01-31,29.39,$3.12,9.42
2012-10-31,23.56,$3.26,7.23
2012-07-31,25.0,$2.88,8.68
2012-04-30,27.47,$3.11,8.83
2012-01-31,27.6,$2.95,9.36
2011-10-31,24.09,$2.84,8.48
2011-07-31,27.4,$2.68,10.22
2011-04-30,32.44,$2.34,13.86
2011-01-31,27.18,$2.09,13.01
2010-10-31,22.62,$1.77,12.78
2010-07-31,18.15,$1.18,15.38
2010-04-30,23.56,$0.54,43.64
2010-01-31,18.22,$-0.06,0.0
2009-10-31,16.08,$-0.10,0.0
