Transdigm Group PE Ratio Historical Data,Transdigm Group PE Ratio Historical Data,Transdigm Group PE Ratio Historical Data,Transdigm Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,1350.31,,53.56
2024-03-31,1231.6,$25.21,48.85
2023-12-31,1011.6,$23.56,42.94
2023-09-30,813.4,$22.02,36.94
2023-06-30,862.64,$18.77,45.96
2023-03-31,711.06,$16.73,42.5
2022-12-31,607.45,$13.39,45.37
2022-09-30,506.31,$13.64,37.12
2022-06-30,503.54,$15.09,33.37
2021-12-31,597.0,$12.78,46.71
2021-09-30,586.01,$10.38,56.46
2021-06-30,607.33,$8.23,73.79
2021-03-31,551.62,$2.70,204.3
2020-12-31,580.64,$6.47,89.74
2020-09-30,445.79,$8.96,49.75
2020-06-30,414.76,$12.16,34.11
2020-03-31,300.42,$14.83,20.26
2019-12-31,525.43,$12.87,40.83
2019-09-30,461.91,$13.85,33.35
2019-06-30,405.62,$13.33,30.43
2019-03-31,380.63,$14.67,25.95
2018-12-31,285.11,$14.60,19.53
2018-09-30,312.14,$16.20,19.27
2018-06-30,289.37,$13.74,21.06
2018-03-31,257.34,$12.91,19.93
2017-12-31,230.25,$12.16,18.93
2017-09-30,214.34,$10.89,19.68
2017-06-30,207.88,$9.65,21.54
2017-03-31,170.22,$9.34,18.22
2022-03-31,611.31,$9.08,67.33
2016-12-31,192.49,$8.17,23.56
2016-09-30,204.66,$9.73,21.03
2016-06-30,186.66,$9.46,19.73
2016-03-31,155.97,$8.69,17.95
2015-12-31,161.71,$8.18,19.77
2015-09-30,150.36,$7.84,19.18
2015-06-30,159.04,$7.25,21.94
2015-03-31,154.82,$3.84,40.32
2014-12-31,138.99,$3.37,41.24
2014-09-30,130.48,$3.18,41.03
2014-06-30,118.4,$1.07,110.65
2014-03-31,114.09,$3.44,33.17
2013-12-31,99.19,$3.20,31.0
2013-09-30,85.44,$2.42,35.31
2013-06-30,83.59,$4.25,19.67
2013-03-31,81.54,$5.22,15.62
2012-12-31,72.71,$5.48,13.27
2012-09-30,68.9,$5.97,11.54
2012-06-30,65.23,$5.60,11.65
2012-03-31,56.22,$4.98,11.29
2011-12-31,46.47,$4.52,10.28
2011-09-30,39.66,$3.18,12.47
2011-06-30,44.29,$2.88,15.38
2011-03-31,40.71,$2.65,15.36
2010-12-31,34.97,$2.32,15.07
2010-09-30,30.14,$2.52,11.96
2010-06-30,24.78,$2.38,10.41
2010-03-31,25.76,$2.37,10.87
2009-12-31,23.06,$2.45,9.41
