Molson Coors Beverage PE Ratio Historical Data,Molson Coors Beverage PE Ratio Historical Data,Molson Coors Beverage PE Ratio Historical Data,Molson Coors Beverage PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,53.5,,10.7
2024-03-31,67.25,$5.00,13.45
2023-12-31,60.78,$4.36,13.94
2023-09-30,62.73,$1.15,54.55
2023-06-30,64.53,$0.16,403.31
2023-03-31,50.32,$-1.19,0.0
2022-12-31,49.78,$-1.15,0.0
2022-09-30,46.05,$3.66,12.58
2022-06-30,51.93,$4.46,11.64
2021-12-31,43.52,$4.63,9.4
2021-09-30,43.22,$-2.06,0.0
2021-06-30,49.68,$-3.44,0.0
2021-03-31,47.33,$-3.65,0.0
2020-12-31,41.81,$-3.14,0.0
2022-03-31,50.49,$2.64,19.13
2020-09-30,31.05,$2.69,11.54
2020-06-30,31.79,$-0.75,0.0
2020-03-31,36.1,$-0.13,0.0
2019-12-31,49.29,$1.11,44.4
2019-09-30,51.99,$0.71,73.23
2019-06-30,50.08,$4.13,12.13
2019-03-31,52.95,$4.57,11.59
2018-12-31,49.52,$5.15,9.62
2018-09-30,54.23,$7.52,7.21
2018-06-30,59.63,$7.25,8.22
2018-03-31,65.58,$6.78,9.67
2017-12-31,71.08,$6.43,11.05
2017-09-30,70.33,$10.36,6.79
2017-06-30,74.04,$10.01,7.4
2017-03-31,81.72,$9.32,8.77
2016-12-31,82.75,$9.17,9.02
2016-09-30,92.99,$2.70,34.44
2016-06-30,85.31,$1.85,46.11
2016-03-31,80.81,$2.28,35.44
2015-12-31,78.55,$1.93,40.7
2015-09-30,69.13,$2.25,30.72
2015-06-30,57.79,$1.97,29.33
2015-03-31,61.28,$2.30,26.65
2014-12-31,61.01,$2.75,22.19
2014-09-30,60.65,$2.96,20.49
2014-06-30,60.12,$3.81,15.78
2014-03-31,47.45,$3.76,12.62
2013-12-31,44.97,$3.08,14.6
2013-09-30,39.91,$2.70,14.78
2013-06-30,37.85,$3.13,12.09
2013-03-31,38.45,$2.19,17.56
2012-12-31,33.39,$2.43,13.74
2012-09-30,34.87,$3.05,11.43
2012-06-30,31.98,$3.02,10.59
2012-03-31,34.49,$3.63,9.5
2011-12-31,32.95,$3.63,9.08
2011-09-30,29.73,$3.26,9.12
2011-06-30,33.33,$3.57,9.34
2011-03-31,34.68,$3.66,9.48
2010-12-31,36.89,$3.78,9.76
2010-09-30,34.51,$4.39,7.86
2010-06-30,30.76,$4.28,7.19
2010-03-31,30.33,$4.02,7.55
2009-12-31,32.38,$3.87,8.37
