Baxter PE Ratio Historical Data,Baxter PE Ratio Historical Data,Baxter PE Ratio Historical Data,Baxter PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,33.9,,6.52
2024-03-31,42.74,$5.20,8.22
2023-12-31,38.39,$5.22,7.35
2023-09-30,37.18,$5.10,7.29
2023-06-30,44.56,$-5.66,0.0
2023-03-31,39.39,$-4.88,0.0
2022-12-31,49.15,$-4.83,0.0
2022-09-30,51.65,$-4.72,0.0
2022-06-30,61.28,$2.00,30.64
2022-03-31,73.7,$2.09,35.26
2021-12-31,81.32,$2.53,32.14
2021-09-30,75.91,$2.39,31.76
2021-06-30,75.72,$2.19,34.57
2021-03-31,79.06,$2.08,38.01
2020-12-31,74.98,$2.14,35.04
2020-09-30,74.91,$1.76,42.56
2020-06-30,79.97,$1.78,44.93
2020-03-31,75.2,$1.96,38.37
2019-12-31,77.25,$1.98,39.02
2019-09-30,80.59,$2.68,30.07
2019-06-30,75.27,$2.97,25.34
2019-03-31,74.52,$2.94,25.35
2018-12-31,60.17,$2.99,20.12
2018-09-30,70.28,$2.21,31.8
2018-06-30,67.14,$1.66,40.45
2018-03-31,58.98,$1.51,39.06
2017-12-31,58.48,$1.29,45.33
2017-09-30,56.63,$1.86,30.45
2017-06-30,54.49,$1.65,33.03
2017-03-31,46.55,$3.36,13.86
2016-12-31,39.7,$8.99,4.42
2016-09-30,42.5,$8.92,4.76
2016-06-30,40.26,$8.68,4.64
2016-03-31,36.46,$7.09,5.14
2015-12-31,33.77,$2.71,12.46
2015-09-30,28.99,$3.20,9.06
2015-06-30,33.26,$4.15,8.01
2014-12-31,34.33,$4.56,7.53
2014-09-30,33.38,$3.41,9.79
2014-06-30,33.39,$3.33,10.03
2014-03-31,33.74,$3.37,10.01
2013-12-31,31.67,$3.43,9.23
2015-03-31,32.33,$3.84,8.42
2013-09-30,29.69,$3.95,7.52
2013-06-30,31.09,$4.02,7.73
2013-03-31,32.37,$4.14,7.82
2012-12-31,29.52,$4.18,7.06
2012-09-30,26.5,$4.11,6.45
2012-06-30,23.19,$4.06,5.71
2012-03-31,25.91,$3.94,6.58
2011-12-31,21.32,$3.88,5.5
2011-09-30,24.03,$3.78,6.36
2011-06-30,25.41,$3.78,6.72
2011-03-31,22.77,$3.61,6.31
2010-12-31,21.31,$3.49,6.11
2010-09-30,19.96,$3.71,5.38
2010-06-30,16.89,$3.57,4.73
2010-03-31,24.02,$3.63,6.62
2009-12-31,24.1,$3.60,6.69
