Eli Lilly PE Ratio Historical Data,Eli Lilly PE Ratio Historical Data,Eli Lilly PE Ratio Historical Data,Eli Lilly PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,807.43,,118.91
2024-03-31,776.68,$6.79,114.39
2023-12-31,580.96,$5.80,100.17
2023-09-30,534.34,$5.52,96.8
2023-06-30,465.56,$7.19,64.75
2023-03-31,340.03,$6.29,54.06
2022-12-31,361.06,$6.90,52.33
2022-09-30,318.25,$6.66,47.78
2022-06-30,318.1,$6.27,50.73
2022-03-31,280.02,$6.75,41.48
2021-12-31,268.97,$6.14,43.81
2021-09-30,224.25,$6.56,34.18
2021-06-30,222.05,$6.67,33.29
2021-03-31,179.95,$6.69,26.9
2020-12-31,161.96,$6.80,23.82
2020-09-30,141.24,$6.12,23.08
2020-06-30,155.9,$6.16,25.31
2020-03-31,131.11,$6.05,21.67
2019-12-31,123.57,$8.76,14.11
2019-09-30,104.54,$8.22,12.72
2019-06-30,103.57,$7.97,12.99
2019-03-31,120.63,$6.28,19.21
2018-12-31,107.01,$3.13,34.19
2018-09-30,98.73,$0.45,219.39
2018-06-30,78.08,$-0.14,0.0
2018-03-31,70.31,$1.06,66.33
2017-12-31,76.19,$-0.20,0.0
2017-09-30,76.68,$2.11,36.34
2017-06-30,73.31,$2.31,31.74
2017-03-31,74.44,$2.07,35.96
2016-12-31,64.66,$2.58,25.06
2016-09-30,70.1,$2.30,30.48
2016-06-30,68.35,$2.32,29.46
2016-03-31,62.09,$2.17,28.61
2015-12-31,72.15,$2.26,31.92
2015-09-30,71.21,$2.21,32.22
2015-06-30,70.62,$1.93,36.59
2015-03-31,61.03,$2.05,29.77
2014-12-31,57.55,$2.23,25.81
2014-09-30,53.7,$2.50,21.48
2014-06-30,51.07,$3.14,16.26
2014-03-31,47.96,$3.57,13.43
2013-12-31,41.18,$4.31,9.55
2013-09-30,40.25,$4.38,9.19
2013-06-30,38.93,$4.45,8.75
2013-03-31,44.62,$4.17,10.7
2012-12-31,38.4,$3.66,10.49
2012-09-30,36.53,$3.69,9.9
2012-06-30,32.69,$3.62,9.03
2012-03-31,30.31,$3.86,7.85
2011-12-31,30.9,$3.90,7.92
2011-09-30,27.13,$4.18,6.49
2011-06-30,27.16,$4.25,6.39
2011-03-31,25.13,$4.40,5.71
2010-12-31,24.69,$4.58,5.39
2010-09-30,25.39,$4.36,5.82
2010-06-30,22.97,$4.04,5.69
2010-03-31,24.49,$3.88,6.31
2009-12-31,23.81,$3.95,6.03
