Atlassian PE Ratio Historical Data,Atlassian PE Ratio Historical Data,Atlassian PE Ratio Historical Data,Atlassian PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,168.86,,0.0
2024-03-31,195.11,$-0.63,0.0
2023-12-31,237.86,$-1.49,0.0
2023-09-30,201.51,$-1.96,0.0
2023-06-30,167.81,$-1.89,0.0
2023-03-31,171.17,$-2.07,0.0
2022-12-31,128.68,$-1.38,0.0
2022-09-30,210.59,$-0.89,0.0
2022-06-30,187.4,$-2.43,0.0
2022-03-31,293.83,$-2.87,0.0
2021-12-31,381.29,$-2.12,0.0
2021-09-30,391.42,$-4.30,0.0
2021-06-30,256.86,$-2.80,0.0
2021-03-31,210.76,$-3.51,0.0
2020-12-31,233.87,$-4.79,0.0
2020-09-30,181.79,$-1.81,0.0
2020-06-30,180.27,$-1.44,0.0
2020-03-31,137.26,$-0.87,0.0
2019-12-31,120.34,$-1.07,0.0
2019-09-30,125.44,$-1.38,0.0
2019-06-30,130.84,$-2.69,0.0
2019-03-31,112.39,$-1.81,0.0
2018-12-31,88.98,$-1.02,0.0
2018-09-30,96.14,$-1.21,0.0
2018-06-30,62.52,$-0.15,0.0
2018-03-31,53.92,$-0.32,0.0
2016-03-31,25.15,$-0.32,0.0
2015-12-31,30.08,$-0.40,0.0
2017-12-31,45.52,$-0.51,0.0
2017-09-30,35.15,$-0.24,0.0
2017-06-30,35.18,$-0.19,0.0
2017-03-31,29.95,$-0.12,0.0
