Occidental Petroleum PE Ratio Historical Data,Occidental Petroleum PE Ratio Historical Data,Occidental Petroleum PE Ratio Historical Data,Occidental Petroleum PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,61.95,,16.93
2024-03-31,64.99,$3.66,17.76
2023-12-31,59.5,$3.91,15.22
2023-09-30,64.44,$4.57,14.1
2023-06-30,58.24,$5.89,9.89
2023-03-31,61.65,$8.73,7.06
2022-12-31,62.02,$12.38,5.01
2022-09-30,60.38,$12.01,5.03
2022-06-30,57.74,$10.14,5.69
2022-03-31,55.53,$6.57,8.45
2021-12-31,28.31,$1.56,18.15
2021-09-30,28.87,$-1.22,0.0
2021-06-30,30.51,$-5.94,0.0
2021-03-31,25.96,$-14.96,0.0
2020-12-31,16.88,$-17.09,0.0
2020-09-30,9.76,$-17.18,0.0
2020-06-30,17.82,$-14.19,0.0
2020-03-31,11.27,$-4.23,0.0
2019-12-31,37.72,$-0.90,0.0
2019-09-30,39.86,$1.53,26.05
2019-06-30,44.29,$5.05,8.77
2019-03-31,57.37,$5.31,10.81
2018-12-31,52.54,$5.39,9.75
2018-09-30,69.53,$5.11,13.61
2018-06-30,70.09,$2.92,24.0
2018-03-31,53.92,$2.48,21.74
2017-12-31,60.41,$1.71,35.33
2017-09-30,52.08,$0.70,74.39
2017-06-30,47.94,$0.13,368.79
2017-03-31,50.1,$-0.71,0.0
2016-12-31,55.65,$-0.76,0.0
2016-09-30,56.34,$-7.18,0.0
2016-06-30,57.81,$-10.28,0.0
2016-03-31,51.84,$-9.87,0.0
2015-12-31,50.63,$-10.25,0.0
2015-09-30,48.99,$-7.88,0.0
2015-06-30,56.98,$-2.91,0.0
2015-03-31,52.97,$-1.32,0.0
2014-12-31,57.93,$0.71,81.6
2014-09-30,65.87,$7.16,9.2
2014-06-30,69.8,$7.57,9.22
2014-03-31,64.35,$7.39,8.71
2013-12-31,63.75,$7.32,8.71
2013-09-30,62.27,$5.70,10.92
2013-06-30,58.98,$5.43,10.86
2013-03-31,51.44,$5.43,9.47
2012-12-31,49.9,$5.67,8.8
2012-09-30,55.65,$7.26,7.67
2012-06-30,55.11,$7.75,7.11
2012-03-31,60.8,$8.34,7.29
2011-12-31,59.5,$8.32,7.15
2011-09-30,45.19,$7.80,5.79
2011-06-30,65.4,$7.08,9.24
2011-03-31,65.39,$6.16,10.61
2010-12-31,61.11,$5.57,10.97
2010-09-30,48.57,$5.23,9.29
2010-06-30,47.62,$4.91,9.7
2010-03-31,51.94,$4.44,11.7
2009-12-31,49.78,$3.58,13.9
