FedEx PE Ratio Historical Data,FedEx PE Ratio Historical Data,FedEx PE Ratio Historical Data,FedEx PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,247.59,,15.32
2024-02-29,247.71,$16.16,15.33
2023-11-30,256.33,$15.72,16.31
2023-05-31,213.61,$15.50,13.78
2023-02-28,198.01,$11.58,17.1
2022-11-30,176.37,$12.76,13.82
2022-08-31,202.94,$13.89,14.61
2022-05-31,215.18,$14.44,14.9
2023-08-31,257.22,$16.40,15.68
2022-02-28,212.23,$19.05,11.14
2021-11-30,219.29,$18.15,12.08
2021-08-31,252.21,$18.82,13.4
2021-05-31,298.07,$19.45,15.32
2021-02-28,240.36,$11.29,21.29
2020-11-30,270.05,$9.19,29.39
2020-08-31,206.55,$6.77,30.51
2020-05-31,122.06,$4.89,24.96
2020-02-29,131.31,$-1.39,0.0
2019-11-30,148.25,$0.21,705.97
2019-08-31,146.33,$1.59,92.03
2019-05-31,141.78,$1.85,76.64
2019-02-28,165.71,$13.56,12.22
2018-11-30,208.98,$18.35,11.39
2018-08-31,222.04,$17.68,12.56
2018-05-31,226.13,$16.77,13.48
2018-02-28,223.22,$16.37,13.64
2017-11-30,209.24,$10.85,19.29
2017-08-31,193.34,$10.60,18.24
2017-05-31,174.4,$8.15,21.4
2017-02-28,173.27,$6.24,27.77
2016-11-30,171.74,$6.61,25.98
2016-05-31,147.09,$6.44,22.84
2016-02-29,121.83,$3.54,34.42
2015-11-30,140.87,$4.35,32.38
2015-08-31,133.61,$3.92,34.08
2015-05-31,153.46,$3.64,42.16
2016-08-31,147.42,$8.90,16.56
2015-02-28,156.61,$8.71,17.98
2014-11-30,157.49,$7.93,19.86
2014-08-31,130.54,$7.36,17.74
2014-05-31,127.07,$6.79,18.71
2014-02-28,117.4,$5.28,22.23
2013-11-30,121.99,$5.18,23.55
2013-08-31,94.3,$5.00,18.86
2013-05-31,84.49,$4.92,17.17
2013-02-28,92.34,$5.70,16.2
2012-11-30,78.42,$6.22,12.61
2012-08-31,76.51,$6.40,11.95
2012-05-31,77.7,$6.41,12.12
2012-02-29,78.33,$6.43,12.18
2011-11-30,72.2,$5.51,13.1
2011-08-31,68.29,$4.83,14.14
2011-05-31,81.12,$4.57,17.75
2011-02-28,77.87,$4.15,18.76
2010-11-30,78.82,$4.18,18.86
2010-08-31,67.33,$4.39,15.34
2010-05-31,71.91,$0.37,194.36
2010-02-28,72.92,$-0.65,0.0
2009-11-30,72.56,$-0.83,0.0
