Salesforce PE Ratio Historical Data,Salesforce PE Ratio Historical Data,Salesforce PE Ratio Historical Data,Salesforce PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,272.29,,64.83
2024-01-31,280.72,$4.20,66.84
2023-10-31,200.57,$2.63,76.26
2023-07-31,224.72,$1.59,141.33
2023-04-30,198.11,$0.38,521.34
2023-01-31,167.75,$0.21,798.81
2022-10-31,162.38,$0.28,579.92
2022-07-31,183.78,$0.54,340.33
2022-04-30,175.71,$1.03,170.59
2022-01-31,232.33,$1.50,154.88
2021-10-31,299.3,$1.81,165.36
2021-07-31,241.61,$1.45,166.63
2021-04-30,230.02,$0.61,377.08
2021-01-31,225.26,$-0.01,0.0
2020-04-30,161.74,$-0.18,0.0
2020-01-31,182.07,$0.20,910.36
2019-10-31,156.28,$0.94,166.26
2019-07-31,154.3,$2.21,69.82
2019-04-30,165.13,$2.23,74.05
2019-01-31,151.77,$2.13,71.25
2020-10-31,231.97,$2.13,108.9
2018-10-31,137.06,$1.07,128.09
2018-07-31,136.97,$1.01,135.61
2018-04-30,120.83,$0.64,188.8
2018-01-31,113.76,$0.17,669.18
2017-10-31,102.21,$0.01,10220.58
2017-07-31,90.68,$-0.11,0.0
2017-04-30,86.01,$0.20,430.04
2017-01-31,79.0,$0.27,292.58
2016-10-31,75.06,$0.30,250.21
2016-07-31,81.69,$0.31,263.52
2016-04-30,75.7,$-0.02,0.0
2016-01-31,67.97,$-0.07,0.0
2015-10-31,77.61,$-0.13,0.0
2015-07-31,73.2,$-0.15,0.0
2015-04-30,72.72,$-0.25,0.0
2015-01-31,56.38,$-0.42,0.0
2014-10-31,63.91,$-0.51,0.0
2014-07-31,54.18,$-0.66,0.0
2014-04-30,51.58,$-0.44,0.0
2014-01-31,60.45,$2.57,23.52
2013-10-31,53.29,$2.64,20.19
2013-07-31,43.69,$2.82,15.52
2020-07-31,194.59,$2.31,84.33
2013-04-30,41.06,$-0.56,0.0
2013-01-31,42.98,$-0.48,0.0
2012-10-31,36.45,$-0.45,0.0
2012-07-31,31.05,$-0.07,0.0
2012-04-30,38.88,$-0.06,0.0
2012-01-31,29.16,$-0.02,0.0
2011-10-31,33.25,$0.01,0.0
2011-07-31,36.13,$0.05,722.6
2011-04-30,34.6,$0.09,407.11
2011-01-31,32.24,$0.12,274.41
2010-10-31,28.98,$0.14,210.76
2010-07-31,24.71,$0.14,176.47
2010-04-30,21.37,$0.16,137.88
2010-01-31,15.87,$0.16,99.17
2009-10-31,14.17,$0.15,96.06
