Invesco PE Ratio Historical Data,Invesco PE Ratio Historical Data,Invesco PE Ratio Historical Data,Invesco PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,15.63,,0.0
2024-03-31,16.38,$-0.75,0.0
2023-12-31,17.39,$-0.74,0.0
2023-09-30,13.94,$1.31,10.64
2023-06-30,15.94,$1.41,11.3
2023-03-31,15.36,$1.38,11.13
2022-12-31,16.68,$1.49,11.2
2022-09-30,12.56,$2.00,6.28
2022-06-30,14.63,$2.32,6.31
2022-03-31,20.7,$2.85,7.26
2021-12-31,20.52,$3.00,6.84
2021-09-30,21.35,$2.54,8.4
2021-06-30,23.51,$2.24,10.49
2021-03-31,22.05,$1.54,14.32
2020-12-31,15.13,$1.14,13.28
2020-09-30,9.8,$1.07,9.16
2020-06-30,9.11,$1.02,8.93
2020-03-31,7.54,$1.02,7.39
2019-12-31,14.69,$1.28,11.48
2019-09-30,13.6,$1.17,11.63
2019-06-30,16.43,$1.46,11.25
2019-03-31,15.28,$1.96,7.8
2018-12-31,13.03,$2.14,6.09
2018-09-30,17.56,$2.85,6.16
2018-06-30,20.14,$2.85,7.07
2018-03-31,24.01,$2.84,8.46
2017-12-31,27.18,$2.74,9.92
2017-09-30,25.84,$2.30,11.24
2017-06-30,25.73,$2.23,11.54
2017-03-31,22.2,$2.19,10.14
2016-12-31,21.8,$2.05,10.63
2016-09-30,22.27,$1.98,11.25
2016-06-30,18.02,$1.98,9.1
2016-03-31,21.5,$2.04,10.54
2015-12-31,23.16,$2.26,10.25
2015-09-30,21.42,$2.40,8.92
2015-06-30,25.53,$2.41,10.59
2015-03-31,26.84,$2.44,11.0
2014-12-31,26.56,$2.27,11.7
2014-09-30,26.37,$2.29,11.52
2014-06-30,25.06,$2.21,11.34
2014-03-31,24.39,$2.03,12.01
2013-12-31,23.84,$2.09,11.4
2013-09-30,20.75,$1.80,11.53
2013-06-30,20.54,$1.67,12.3
2013-03-31,18.58,$1.56,11.91
2012-12-31,16.64,$1.50,11.09
2012-09-30,15.82,$1.59,9.95
2012-06-30,14.2,$1.57,9.05
2012-03-31,16.63,$1.62,10.27
2011-12-31,12.47,$1.57,7.94
2011-09-30,9.56,$1.50,6.38
2011-06-30,14.32,$1.46,9.81
2011-03-31,15.57,$1.16,13.42
2010-12-31,14.59,$0.99,14.74
2010-09-30,12.81,$0.87,14.73
2010-06-30,10.1,$0.79,12.78
2010-03-31,13.07,$0.88,14.85
2009-12-31,13.94,$0.75,18.58
