STERIS PE Ratio Historical Data,STERIS PE Ratio Historical Data,STERIS PE Ratio Historical Data,STERIS PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,229.17,,59.99
2024-03-31,224.82,$3.82,58.85
2023-12-31,219.37,$5.71,38.42
2023-09-30,218.37,$5.53,39.49
2023-06-30,223.38,$1.22,183.1
2023-03-31,189.49,$1.07,177.1
2022-12-31,182.51,$-0.29,0.0
2022-09-30,163.88,$-0.11,0.0
2022-06-30,202.69,$3.73,54.34
2022-03-31,237.23,$2.39,99.26
2021-12-31,238.4,$2.89,82.49
2021-09-30,199.7,$2.80,71.32
2021-06-30,201.28,$3.34,60.26
2021-03-31,185.45,$4.61,40.23
2020-12-31,184.11,$5.03,36.6
2020-09-30,170.78,$4.93,34.64
2020-06-30,148.35,$4.81,30.84
2020-03-31,134.99,$4.77,28.3
2019-12-31,146.67,$4.60,31.89
2019-09-30,138.7,$3.93,35.29
2019-06-30,142.55,$3.73,38.22
2019-03-31,122.29,$3.56,34.35
2018-12-31,101.78,$3.15,32.31
2018-09-30,108.65,$3.70,29.36
2018-06-30,99.43,$3.54,28.09
2018-03-31,88.14,$3.40,25.92
2017-12-31,82.3,$2.85,28.88
2017-09-30,82.89,$1.68,49.34
2017-06-30,76.14,$1.40,54.39
2017-03-31,64.66,$1.28,50.52
2016-12-31,62.49,$1.64,38.1
2016-09-30,67.5,$1.96,34.44
2016-06-30,63.23,$1.63,38.79
2016-03-31,65.11,$1.47,44.29
2015-12-31,68.78,$1.49,46.16
2015-09-30,59.31,$1.86,31.89
2015-06-30,58.83,$2.24,26.26
2015-03-31,64.15,$2.25,28.51
2014-12-31,59.2,$2.21,26.79
2014-09-30,49.26,$2.06,23.91
2014-06-30,48.82,$2.04,23.93
2014-03-31,43.59,$2.17,20.09
2013-12-31,43.87,$2.22,19.76
2013-09-30,39.04,$2.56,15.25
2013-06-30,38.77,$2.74,14.15
2013-03-31,37.47,$2.72,13.77
2012-12-31,31.12,$2.78,11.19
2012-09-30,31.6,$2.54,12.44
2012-06-30,27.79,$2.36,11.78
2012-03-31,27.85,$2.32,12.0
2011-12-31,26.13,$2.21,11.82
2011-09-30,25.49,$1.99,12.81
2011-06-30,30.28,$2.08,14.56
2011-03-31,29.77,$0.84,35.44
2010-12-31,31.29,$0.69,45.35
2010-09-30,28.39,$1.02,27.83
2010-06-30,26.42,$0.97,27.24
2010-03-31,28.52,$2.16,13.2
2009-12-31,23.61,$2.13,11.09
