Freeport-McMoRan PE Ratio Historical Data,Freeport-McMoRan PE Ratio Historical Data,Freeport-McMoRan PE Ratio Historical Data,Freeport-McMoRan PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,51.53,,40.57
2023-12-31,42.29,$1.27,33.3
2023-09-30,36.89,$1.48,24.92
2023-06-30,39.43,$1.49,26.46
2023-03-31,40.19,$1.54,26.09
2022-12-31,37.2,$1.65,22.55
2024-03-31,46.88,$2.21,21.21
2022-09-30,26.62,$2.63,10.12
2022-06-30,28.33,$3.29,8.61
2022-03-31,48.02,$3.45,13.92
2021-12-31,40.15,$2.89,13.89
2021-09-30,31.23,$2.63,11.88
2021-06-30,35.55,$1.91,18.61
2021-03-31,31.48,$1.21,26.02
2020-12-31,24.88,$0.39,63.79
2020-09-30,14.95,$-0.09,0.0
2020-06-30,11.06,$-0.40,0.0
2020-03-31,6.45,$-0.48,0.0
2019-12-31,12.5,$-0.12,0.0
2019-09-30,9.07,$-0.03,0.0
2019-06-30,10.95,$0.44,24.89
2019-03-31,12.11,$1.08,11.22
2018-12-31,9.65,$1.53,6.31
2018-09-30,12.97,$2.15,6.03
2018-06-30,16.04,$1.96,8.18
2018-03-31,16.28,$1.55,10.51
2017-12-31,17.57,$1.24,14.17
2017-09-30,13.01,$0.74,17.58
2017-06-30,11.13,$0.71,15.68
2017-03-31,12.38,$0.15,82.55
2016-12-31,12.22,$-3.36,0.0
2016-09-30,10.07,$-7.04,0.0
2016-06-30,10.32,$-10.78,0.0
2016-03-31,9.58,$-12.18,0.0
2015-12-31,6.27,$-11.21,0.0
2015-09-30,8.95,$-10.49,0.0
2015-06-30,17.03,$-6.38,0.0
2015-03-31,17.28,$-4.14,0.0
2014-12-31,20.99,$-1.27,0.0
2014-09-30,29.05,$2.16,13.45
2014-06-30,32.21,$2.42,13.31
2014-03-31,28.91,$2.45,11.8
2013-12-31,32.7,$2.64,12.39
2013-09-30,28.4,$2.74,10.36
2013-06-30,23.44,$2.81,8.34
2013-03-31,26.93,$3.06,8.8
2012-12-31,27.58,$3.18,8.67
2012-09-30,31.67,$3.07,10.32
2012-06-30,27.0,$3.31,8.16
2012-03-31,29.89,$4.00,7.47
2011-12-31,28.74,$4.77,6.02
2011-09-30,23.62,$5.73,4.13
2011-06-30,40.85,$5.87,6.96
2011-03-31,42.25,$5.14,8.22
2010-12-31,45.48,$4.57,9.95
2010-09-30,31.96,$4.02,7.95
2010-06-30,22.03,$3.47,6.36
2010-03-31,31.06,$2.82,11.02
2009-12-31,29.8,$2.86,10.44
