Juniper Networks PE Ratio Historical Data,Juniper Networks PE Ratio Historical Data,Juniper Networks PE Ratio Historical Data,Juniper Networks PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,34.69,,50.28
2024-03-31,37.06,$0.69,53.71
2023-12-31,29.31,$0.95,30.85
2023-09-30,27.41,$1.12,24.48
2023-06-30,30.67,$1.25,24.54
2023-03-31,33.46,$1.53,21.87
2022-12-31,30.85,$1.44,21.42
2022-09-30,25.05,$1.29,19.42
2022-06-30,27.13,$1.19,22.8
2022-03-31,35.14,$1.03,34.11
2021-12-31,33.56,$0.95,35.32
2021-09-30,25.7,$0.98,26.22
2021-06-30,25.36,$0.89,28.5
2020-12-31,20.54,$0.76,27.03
2020-09-30,19.44,$1.16,16.76
2020-06-30,20.51,$0.63,32.55
2020-03-31,17.03,$0.74,23.01
2019-12-31,21.71,$0.81,26.8
2021-03-31,23.31,$0.41,56.86
2019-09-30,21.65,$1.06,20.42
2019-06-30,23.1,$1.41,16.38
2019-03-31,22.79,$1.61,14.15
2018-12-31,23.0,$1.62,14.2
2018-09-30,25.62,$0.67,38.24
2018-06-30,23.29,$0.49,47.53
2018-03-31,20.53,$0.63,32.58
2017-12-31,23.88,$0.81,29.48
2017-09-30,23.23,$1.72,13.51
2017-06-30,23.19,$1.71,13.56
2017-03-31,23.07,$1.60,14.42
2016-12-31,23.35,$1.55,15.06
2016-09-30,19.8,$1.55,12.78
2016-06-30,18.43,$1.61,11.45
2016-03-31,20.81,$1.65,12.62
2015-12-31,22.43,$1.61,13.93
2015-09-30,20.82,$-0.71,0.0
2015-06-30,20.95,$-0.99,0.0
2015-03-31,18.15,$-0.93,0.0
2014-12-31,17.87,$-0.82,0.0
2014-09-30,17.65,$1.18,14.96
2014-06-30,19.48,$1.14,17.08
2013-12-31,17.91,$0.86,20.83
2013-09-30,15.76,$0.75,21.01
2013-06-30,15.32,$0.78,19.65
2013-03-31,14.71,$0.62,23.73
2012-12-31,15.61,$0.55,28.38
2014-03-31,20.44,$0.39,52.42
2012-09-30,13.58,$0.35,38.8
2012-06-30,12.94,$0.48,26.97
2012-03-31,18.16,$0.58,31.31
2011-12-31,16.2,$0.79,20.5
2011-09-30,13.7,$0.96,14.27
2011-06-30,25.0,$1.05,23.81
2011-03-31,33.39,$1.08,30.92
2010-12-31,29.3,$1.14,25.7
2010-09-30,24.09,$1.03,23.38
2010-06-30,18.11,$0.94,19.27
2010-03-31,24.35,$0.73,33.35
2009-12-31,21.17,$0.42,50.39
