HP PE Ratio Historical Data,HP PE Ratio Historical Data,HP PE Ratio Historical Data,HP PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,32.75,,9.58
2024-01-31,28.45,$3.42,8.32
2023-10-31,25.86,$3.29,7.86
2023-07-31,31.95,$2.32,13.77
2023-04-30,28.67,$2.64,10.86
2023-01-31,27.86,$2.51,11.1
2022-10-31,26.17,$3.01,8.69
2022-07-31,31.34,$5.72,5.48
2022-04-30,34.17,$5.56,6.15
2022-01-31,34.02,$5.60,6.08
2021-10-31,27.91,$5.44,5.13
2021-07-31,26.38,$3.22,8.19
2021-04-30,30.98,$2.82,10.98
2021-01-31,21.96,$2.37,9.27
2020-10-31,16.07,$2.00,8.04
2020-07-31,15.59,$1.77,8.81
2020-04-30,13.62,$2.03,6.71
2020-01-31,18.55,$2.01,9.23
2019-10-31,14.99,$2.06,7.28
2019-07-31,18.0,$2.71,6.64
2019-04-30,16.93,$2.47,6.86
2019-01-31,18.7,$2.60,7.19
2018-10-31,20.34,$3.25,6.26
2018-07-31,19.34,$2.73,7.08
2018-04-30,17.9,$2.60,6.89
2018-01-31,19.31,$2.29,8.43
2017-10-31,17.73,$1.49,11.9
2017-07-31,15.61,$1.38,11.31
2017-04-30,15.27,$1.42,10.75
2017-01-31,12.11,$1.45,8.35
2016-10-31,11.57,$1.42,8.15
2016-07-31,11.09,$1.87,5.93
2016-04-30,9.62,$1.89,5.09
2016-01-31,7.53,$2.08,3.62
2015-10-31,9.4,$2.48,3.79
2015-07-31,10.57,$2.45,4.31
2015-04-30,11.36,$2.50,4.54
2015-01-31,12.39,$2.61,4.75
2014-10-31,12.25,$2.62,4.68
2014-07-31,12.11,$2.65,4.57
2014-04-30,11.19,$2.84,3.94
2014-01-31,9.76,$2.73,3.58
2013-10-31,8.16,$-1.50,0.0
2013-07-31,8.55,$-6.72,0.0
2013-04-30,6.81,$-6.63,0.0
2012-10-31,4.51,$-6.45,0.0
2012-07-31,5.9,$-2.84,0.0
2012-04-30,7.96,$2.28,3.49
2012-01-31,8.94,$2.41,3.71
2011-10-31,8.47,$2.73,3.1
2013-01-31,5.43,$3.78,1.44
2011-07-31,11.14,$4.25,2.62
2011-04-30,12.74,$4.07,3.13
2011-01-31,14.39,$3.93,3.66
2010-10-31,13.21,$3.72,3.55
2010-07-31,14.44,$3.61,4.0
2010-04-30,16.27,$3.53,4.61
2010-01-31,14.72,$3.32,4.43
2009-10-31,14.81,$3.11,4.76
