Leidos Holdings PE Ratio Historical Data,Leidos Holdings PE Ratio Historical Data,Leidos Holdings PE Ratio Historical Data,Leidos Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,151.15,,65.15
2024-03-31,131.09,$2.32,56.5
2023-12-31,107.92,$1.42,76.0
2023-09-30,91.57,$1.04,88.04
2023-06-30,87.58,$5.12,17.11
2023-03-31,90.73,$4.86,18.67
2022-12-31,103.27,$4.94,20.9
2022-09-30,85.59,$4.89,17.5
2022-06-30,98.16,$5.15,19.06
2022-03-31,104.9,$5.09,20.61
2021-12-31,86.03,$5.26,16.36
2021-09-30,92.65,$5.40,17.16
2021-06-30,97.07,$5.10,19.03
2021-03-31,92.15,$4.98,18.5
2020-12-31,100.25,$4.36,22.99
2020-09-30,84.74,$4.25,19.94
2020-06-30,88.7,$4.23,20.97
2020-03-31,86.49,$4.10,21.09
2019-12-31,92.03,$4.59,20.05
2019-09-30,80.44,$4.58,17.56
2019-06-30,74.5,$4.43,16.82
2019-03-31,59.55,$4.44,13.41
2018-12-31,48.74,$3.81,12.79
2018-09-30,63.58,$3.30,19.27
2018-06-30,54.0,$2.87,18.81
2018-03-31,59.54,$2.57,23.17
2017-12-31,58.51,$2.38,24.58
2017-09-30,53.4,$2.03,26.3
2017-06-30,46.35,$2.30,20.15
2017-03-31,45.59,$2.21,20.63
2016-12-31,45.32,$2.40,18.88
2016-09-30,38.12,$3.73,10.22
2016-06-30,30.89,$3.60,8.58
2016-03-31,32.26,$3.55,9.09
2015-12-31,35.83,$3.44,10.41
2015-09-30,25.97,$1.72,15.1
2015-06-30,25.18,$1.05,23.98
2015-03-31,25.97,$0.55,47.22
2014-10-31,22.47,0,0.0
2014-07-31,22.48,0,0.0
2014-04-30,22.47,0,0.0
2014-01-31,27.13,0,0.0
2013-10-31,27.98,0,0.0
2013-07-31,36.09,0,0.0
2013-04-30,32.57,0,0.0
2012-10-31,23.52,0,0.0
2012-07-31,24.49,0,0.0
2012-04-30,25.48,0,0.0
2012-01-31,26.43,0,0.0
2011-10-31,25.55,0,0.0
2011-07-31,32.95,0,0.0
2011-04-30,35.76,0,0.0
2011-01-31,34.06,0,0.0
2010-10-31,31.94,0,0.0
2010-07-31,34.18,0,0.0
2010-04-30,35.78,0,0.0
2010-01-31,37.68,0,0.0
2009-10-31,36.4,0,0.0
2009-07-31,37.18,0,0.0
2015-01-31,25.63,0,0.0
