Paycom Software PE Ratio Historical Data,Paycom Software PE Ratio Historical Data,Paycom Software PE Ratio Historical Data,Paycom Software PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,170.68,,20.79
2024-03-31,198.57,$8.21,24.19
2023-12-31,205.85,$5.90,34.89
2023-09-30,257.64,$5.85,44.04
2023-06-30,318.8,$5.45,58.5
2023-03-31,301.3,$5.33,56.53
2022-12-31,307.54,$4.85,63.41
2022-09-30,327.05,$4.31,75.88
2022-06-30,277.62,$3.93,70.64
2022-03-31,343.29,$3.84,89.4
2021-12-31,411.49,$3.37,122.1
2021-09-30,491.33,$2.95,166.55
2021-06-30,360.23,$2.90,124.22
2021-03-31,366.76,$2.49,147.29
2020-12-31,448.21,$2.46,182.2
2020-09-30,308.52,$2.82,109.41
2020-06-30,306.97,$3.02,101.64
2020-03-31,200.21,$3.36,59.59
2019-12-31,262.4,$3.09,84.92
2019-09-30,207.62,$2.85,72.85
2019-06-30,224.7,$2.67,84.16
2019-03-31,187.44,$2.45,76.51
2018-12-31,121.36,$1.86,65.25
2018-09-30,154.02,$1.56,98.73
2018-06-30,97.95,$1.31,74.77
2017-12-31,79.61,$1.14,69.84
2017-09-30,74.29,$1.07,69.43
2017-06-30,67.8,$1.53,44.31
2017-03-31,57.0,$1.39,41.0
2016-12-31,45.08,$1.13,39.9
2018-03-31,106.43,$1.29,82.51
2016-09-30,49.68,$0.68,73.06
2016-06-30,42.82,$0.65,65.88
2016-03-31,35.28,$0.57,61.9
2015-12-31,37.29,$0.37,100.8
2015-09-30,35.59,$0.33,107.85
2015-06-30,33.85,$0.31,109.18
2015-03-31,31.77,$0.20,158.87
