Keurig Dr Pepper PE Ratio Historical Data,Keurig Dr Pepper PE Ratio Historical Data,Keurig Dr Pepper PE Ratio Historical Data,Keurig Dr Pepper PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,34.19,,22.06
2024-03-31,30.67,$1.55,19.79
2023-12-31,33.32,$1.55,21.5
2023-09-30,31.57,$1.38,22.88
2023-06-30,31.27,$1.14,27.43
2023-03-31,35.28,$0.93,37.94
2022-12-31,35.66,$1.19,29.97
2022-09-30,35.82,$1.24,28.89
2022-06-30,35.39,$1.42,24.92
2021-12-31,36.3,$1.50,24.2
2021-09-30,33.64,$1.21,27.8
2021-06-30,34.52,$1.25,27.61
2021-03-31,33.49,$1.25,26.79
2020-12-31,30.9,$1.23,25.12
2022-03-31,37.7,$1.04,36.25
2020-09-30,26.51,$0.92,28.81
2020-06-30,27.13,$0.82,33.09
2020-03-31,23.04,$0.83,27.76
2019-12-31,27.34,$0.88,31.07
2019-09-30,25.66,$0.78,32.9
2019-06-30,27.01,$0.68,39.72
2019-03-31,26.0,$0.73,35.61
2018-12-31,23.69,$1.45,16.34
2018-09-30,21.27,$4.07,5.23
2018-06-30,111.98,$5.07,22.09
2018-03-31,108.65,$5.82,18.67
2017-12-31,89.08,$5.90,15.1
2017-09-30,81.2,$3.99,20.35
2017-06-30,83.62,$4.17,20.05
2017-03-31,89.87,$4.54,19.8
2016-12-31,83.22,$4.54,18.33
2016-09-30,83.81,$4.61,18.18
2016-06-30,88.69,$4.37,20.3
2016-03-31,82.07,$3.79,21.66
2015-12-31,85.54,$3.60,23.76
2015-09-30,72.55,$3.59,20.21
2015-03-31,72.03,$3.60,20.01
2014-12-31,65.79,$3.57,18.43
2014-09-30,59.03,$3.58,16.49
2014-06-30,53.77,$3.63,14.81
2014-03-31,49.99,$3.33,15.01
2013-12-31,44.72,$3.06,14.61
2013-09-30,40.81,$3.09,13.21
2013-06-30,41.47,$3.22,12.88
2013-03-31,42.05,$3.30,12.74
2012-12-31,39.22,$3.62,10.84
2015-06-30,66.91,$3.29,20.34
2012-09-30,39.23,$2.92,13.44
2012-06-30,38.26,$2.79,13.71
2012-03-31,34.89,$2.73,12.78
2011-12-31,33.95,$2.75,12.35
2011-09-30,33.08,$2.47,13.39
2011-06-30,35.46,$2.36,15.03
2011-03-31,31.18,$2.33,13.38
2010-12-31,29.31,$2.18,13.44
2010-09-30,29.41,$2.13,13.81
2010-06-30,30.74,$2.12,14.5
2010-03-31,28.73,$2.00,14.36
2009-12-31,23.02,$2.17,10.61
