Assurant PE Ratio Historical Data,Assurant PE Ratio Historical Data,Assurant PE Ratio Historical Data,Assurant PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,168.99,,14.11
2023-12-31,167.77,$11.98,14.0
2023-09-30,142.35,$9.83,14.48
2023-06-30,124.01,$10.76,11.53
2023-03-31,117.78,$8.00,14.72
2022-12-31,122.01,$6.83,17.86
2024-03-31,188.24,$8.15,23.1
2022-09-30,140.95,$5.82,24.22
2022-06-30,167.01,$20.51,8.14
2022-03-31,175.03,$22.88,7.65
2021-12-31,149.43,$22.93,6.52
2021-09-30,150.59,$23.02,6.54
2021-06-30,148.51,$7.61,19.52
2021-03-31,134.26,$7.10,18.91
2020-12-31,128.32,$6.89,18.62
2020-09-30,113.71,$6.64,17.13
2020-06-30,96.33,$6.26,15.39
2020-03-31,96.47,$5.66,17.04
2019-12-31,120.94,$5.75,21.03
2019-09-30,115.54,$4.09,28.25
2019-06-30,97.2,$5.81,16.73
2019-03-31,86.21,$4.69,18.38
2018-12-31,80.74,$4.13,19.55
2018-09-30,96.86,$9.57,10.12
2018-06-30,92.36,$7.76,11.9
2018-03-31,81.11,$8.83,9.19
2017-12-31,88.92,$9.40,9.46
2017-09-30,83.75,$4.18,20.03
2017-06-30,90.42,$7.60,11.9
2017-03-31,82.99,$8.14,10.2
2016-12-31,80.12,$8.95,8.95
2016-09-30,79.11,$9.38,8.43
2016-06-30,73.6,$6.91,10.65
2016-03-31,65.41,$4.68,13.98
2015-12-31,67.81,$2.05,33.08
2015-09-30,66.14,$1.77,37.36
2015-06-30,55.86,$3.79,14.74
2015-03-31,50.97,$5.27,9.67
2014-12-31,56.54,$6.42,8.81
2014-09-30,52.92,$7.19,7.36
2014-06-30,53.73,$6.95,7.73
2014-03-31,53.03,$6.70,7.91
2013-12-31,53.97,$6.30,8.57
2013-09-30,43.65,$5.15,8.48
2013-06-30,40.89,$4.99,8.19
2013-03-31,35.97,$5.23,6.88
2012-12-31,27.59,$5.58,4.94
2012-09-30,29.48,$7.00,4.21
2012-06-30,27.36,$6.27,4.36
2012-03-31,31.61,$6.01,5.26
2011-12-31,31.92,$5.59,5.71
2011-09-30,27.69,$2.12,13.06
2011-06-30,27.9,$2.63,10.61
2011-03-31,29.48,$2.41,12.23
2010-12-31,29.37,$2.36,12.45
2010-09-30,30.9,$4.20,7.36
2010-06-30,26.22,$4.12,6.37
2010-03-31,25.86,$4.29,6.03
2009-12-31,22.07,$3.63,6.08
