Synchrony Financial PE Ratio Historical Data,Synchrony Financial PE Ratio Historical Data,Synchrony Financial PE Ratio Historical Data,Synchrony Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,43.33,,6.22
2024-03-31,42.88,$6.97,6.15
2023-12-31,37.74,$5.18,7.29
2023-09-30,29.94,$5.41,5.53
2023-06-30,32.99,$5.40,6.11
2023-03-31,28.06,$5.68,4.94
2022-12-31,31.51,$6.10,5.16
2022-09-30,26.86,$6.32,4.25
2022-06-30,26.13,$6.85,3.81
2022-03-31,32.74,$7.37,4.44
2021-12-31,43.42,$7.33,5.92
2021-09-30,45.53,$7.09,6.42
2021-06-30,44.99,$5.61,8.02
2021-03-31,37.51,$3.55,10.57
2020-12-31,31.83,$2.27,14.02
2020-09-30,23.79,$2.18,10.91
2020-06-30,19.95,$3.26,6.12
2020-03-31,14.31,$4.44,3.22
2019-12-31,31.82,$5.55,5.73
2019-09-30,29.94,$5.49,5.45
2019-06-30,30.26,$4.80,6.3
2019-03-31,27.84,$4.48,6.22
2018-12-31,20.33,$3.75,5.42
2018-09-30,26.72,$3.15,8.48
2018-06-30,28.5,$2.94,9.69
2018-03-31,28.5,$2.63,10.84
2017-12-31,32.69,$2.50,13.08
2017-09-30,26.17,$2.74,9.55
2017-03-31,28.64,$2.62,10.93
2016-12-31,30.17,$2.71,11.13
2016-09-30,23.18,$2.66,8.72
2016-06-30,20.83,$2.54,8.2
2016-03-31,23.62,$2.65,8.91
2015-12-31,25.06,$2.60,9.64
2017-06-30,25.01,$2.61,9.58
2015-09-30,25.79,$2.64,9.77
2015-06-30,27.14,$2.65,10.24
