Marriott PE Ratio Historical Data,Marriott PE Ratio Historical Data,Marriott PE Ratio Historical Data,Marriott PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,236.59,,24.42
2024-03-31,251.63,$9.69,25.97
2023-12-31,224.42,$10.19,22.02
2023-09-30,195.12,$9.44,20.67
2023-06-30,181.89,$8.87,20.51
2023-03-31,163.91,$8.55,19.17
2022-12-31,146.64,$7.26,20.2
2022-09-30,137.69,$6.56,20.99
2022-06-30,133.38,$5.29,25.21
2022-03-31,172.05,$4.51,38.15
2021-12-31,161.76,$3.34,48.43
2021-09-30,144.97,$1.42,102.09
2021-06-30,133.64,$1.06,126.08
2021-03-31,144.99,$-0.94,0.0
2020-12-31,129.14,$-0.82,0.0
2020-09-30,90.63,$0.53,171.0
2020-06-30,83.92,$1.38,60.81
2020-03-31,73.23,$2.79,26.25
2019-12-31,147.65,$3.79,38.96
2019-09-30,120.83,$3.86,31.3
2019-06-30,135.78,$4.08,33.28
2019-03-31,120.6,$5.10,23.65
2018-12-31,104.33,$5.10,20.46
2018-09-30,126.43,$4.72,26.79
2018-06-30,120.83,$4.38,27.59
2018-03-31,129.4,$3.75,34.51
2017-12-31,128.86,$3.60,35.79
2017-09-30,104.41,$3.68,28.37
2017-06-30,94.68,$2.90,32.65
2017-03-31,88.61,$2.78,31.87
2016-12-31,77.52,$2.61,29.7
2016-09-30,62.89,$2.77,22.7
2016-06-30,61.81,$3.38,18.29
2015-12-31,61.83,$3.15,19.63
2015-09-30,62.71,$3.06,20.5
2015-06-30,68.14,$2.93,23.26
2015-03-31,73.35,$2.70,27.17
2014-12-31,71.08,$2.54,27.99
2014-09-30,63.51,$2.35,27.03
2014-06-30,58.07,$2.22,26.16
2014-03-31,50.58,$2.43,20.81
2013-12-31,44.42,$2.43,18.28
2013-09-30,37.72,$2.37,15.91
2016-03-31,65.9,$2.41,27.34
2013-06-30,36.05,$2.00,18.02
2013-03-31,37.56,$1.85,20.3
2012-12-31,33.04,$1.83,18.05
2012-09-30,34.53,$0.75,46.04
2012-06-30,34.5,$0.68,50.73
2011-12-31,25.51,$0.52,49.06
2011-09-30,22.39,$0.57,39.29
2011-06-30,29.07,$1.39,20.92
2011-03-31,29.07,$1.24,23.44
2010-12-31,33.86,$1.29,26.25
2012-03-31,33.2,$1.05,31.62
2010-09-30,29.14,$1.03,28.29
2010-06-30,24.32,$-0.50,0.0
2010-03-31,25.57,$-0.71,0.0
2009-12-31,22.08,$-0.99,0.0
