Lam Research PE Ratio Historical Data,Lam Research PE Ratio Historical Data,Lam Research PE Ratio Historical Data,Lam Research PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,970.57,,35.7
2024-03-31,971.57,$27.19,35.73
2023-12-31,781.62,$25.86,30.22
2023-09-30,623.75,$29.41,21.21
2023-06-30,637.81,$33.14,19.25
2023-03-31,524.51,$35.91,14.61
2022-12-31,414.4,$37.20,11.14
2022-09-30,359.56,$34.87,10.31
2022-06-30,416.94,$32.75,12.73
2022-03-31,524.25,$31.99,16.39
2021-12-31,699.11,$32.10,21.78
2021-09-30,552.07,$29.62,18.64
2021-06-30,629.64,$26.08,24.14
2021-03-31,574.81,$21.98,26.15
2020-12-31,454.98,$18.00,25.28
2020-06-30,309.64,$15.13,20.47
2020-03-31,228.88,$13.91,16.45
2019-12-31,277.47,$15.62,17.76
2019-09-30,218.38,$15.66,13.94
2019-06-30,176.61,$16.08,10.98
2020-09-30,318.8,$15.80,20.18
2019-03-31,167.34,$16.03,10.44
2018-12-31,126.52,$16.89,7.49
2018-09-30,139.92,$13.32,10.5
2018-06-30,158.31,$13.30,11.9
2018-03-31,185.06,$10.30,17.97
2017-12-31,167.27,$9.07,18.44
2017-09-30,167.68,$10.94,15.33
2017-06-30,127.83,$9.20,13.89
2017-03-31,115.69,$7.84,14.76
2016-12-31,94.93,$5.56,17.07
2016-09-30,84.67,$5.03,16.83
2016-06-30,74.91,$5.22,14.35
2016-03-31,73.34,$4.50,16.3
2015-12-31,70.24,$4.84,14.51
2015-09-30,57.55,$4.56,12.62
2015-06-30,71.36,$3.70,19.29
2015-03-31,61.39,$4.31,14.24
2014-12-31,69.19,$4.11,16.83
2014-09-30,65.0,$3.98,16.33
2014-06-30,58.66,$3.68,15.94
2014-03-31,47.61,$2.44,19.51
2013-12-31,47.13,$1.52,31.01
2013-06-30,38.38,$0.67,57.28
2013-03-31,35.89,$0.30,119.63
2012-12-31,31.27,$0.69,45.32
2012-09-30,27.51,$1.03,26.71
2012-06-30,32.67,$1.28,25.52
2013-09-30,44.32,$1.73,25.62
2012-03-31,38.62,$2.24,17.24
2011-12-31,32.04,$3.31,9.68
2011-09-30,32.88,$4.82,6.82
2011-06-30,38.33,$5.79,6.62
2011-03-31,49.04,$5.88,8.34
2010-12-31,44.82,$5.37,8.35
2010-09-30,36.23,$4.13,8.77
2010-06-30,32.94,$2.71,12.16
2010-03-31,32.3,$0.91,35.5
2009-12-31,33.94,$-1.61,0.0
