Home Depot PE Ratio Historical Data,Home Depot PE Ratio Historical Data,Home Depot PE Ratio Historical Data,Home Depot PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,325.1,,21.8
2024-04-30,334.22,$14.91,22.42
2024-01-31,350.87,$15.10,23.24
2023-10-31,281.11,$15.58,18.04
2023-07-31,327.58,$16.01,20.46
2023-04-30,292.74,$16.41,17.84
2023-01-31,313.51,$16.68,18.8
2022-10-31,284.72,$16.59,17.16
2022-07-31,287.45,$16.27,17.67
2022-04-30,285.12,$15.75,18.1
2022-01-31,346.23,$15.52,22.31
2021-10-31,349.29,$14.96,23.35
2021-07-31,306.8,$14.22,21.58
2021-04-30,300.99,$13.71,21.95
2021-01-31,250.29,$11.93,20.98
2020-10-31,245.14,$11.56,21.21
2020-07-31,242.75,$10.91,22.25
2020-04-30,199.81,$10.06,19.86
2020-01-31,205.87,$10.25,20.09
2019-10-31,210.38,$10.06,20.91
2019-07-31,190.49,$10.04,18.97
2019-04-30,180.34,$9.92,18.18
2019-01-31,161.27,$9.73,16.57
2018-10-31,153.66,$9.16,16.77
2018-07-31,171.69,$8.49,20.22
2018-04-30,159.75,$7.69,20.77
2018-01-31,172.67,$7.28,23.72
2017-10-31,141.78,$7.20,19.69
2017-07-31,127.18,$6.96,18.27
2017-04-30,131.95,$6.68,19.75
2017-01-31,115.59,$6.45,17.92
2016-10-31,101.96,$6.18,16.5
2016-07-31,114.94,$5.93,19.38
2016-04-30,110.74,$5.69,19.46
2016-01-31,103.45,$5.46,18.95
2015-10-31,101.26,$5.34,18.96
2015-07-31,95.35,$5.14,18.55
2015-04-30,86.71,$4.93,17.59
2015-01-31,84.19,$4.72,17.84
2014-10-31,78.25,$4.40,17.78
2014-07-31,64.54,$4.20,15.37
2014-04-30,63.11,$3.92,16.1
2014-01-31,60.64,$3.60,16.85
2013-10-31,61.16,$3.50,17.47
2013-07-31,61.73,$3.56,17.34
2013-01-31,51.72,$3.00,17.24
2012-10-31,47.23,$2.82,16.75
2012-07-31,39.94,$3.02,13.23
2012-04-30,39.41,$2.61,15.1
2012-01-31,33.57,$2.79,12.03
2013-04-30,57.0,$2.79,20.43
2011-10-31,26.88,$2.32,11.58
2011-07-31,26.03,$2.23,11.67
2011-04-30,27.49,$2.09,13.15
2011-01-31,27.02,$2.02,13.38
2010-10-31,22.53,$1.86,12.11
2010-07-31,20.61,$1.76,11.71
2010-04-30,25.3,$1.70,14.88
2010-01-31,19.96,$1.57,12.71
2009-10-31,17.74,$1.34,13.24
