Waters PE Ratio Historical Data,Waters PE Ratio Historical Data,Waters PE Ratio Historical Data,Waters PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,336.46,,33.02
2024-03-31,344.23,$10.19,33.78
2023-12-31,329.23,$10.85,30.34
2023-09-30,274.21,$11.01,24.91
2023-06-30,266.54,$11.34,23.5
2023-03-31,309.63,$11.51,26.9
2022-12-31,342.58,$11.75,29.16
2022-09-30,269.53,$11.46,23.52
2022-06-30,330.98,$11.46,28.88
2022-03-31,310.39,$11.43,27.16
2021-12-31,372.6,$11.18,33.33
2021-09-30,357.3,$11.15,32.04
2021-06-30,345.61,$10.58,32.67
2021-03-31,284.17,$9.87,28.79
2020-12-31,247.42,$8.36,29.6
2020-09-30,195.68,$7.99,24.49
2020-06-30,180.4,$8.03,22.47
2020-03-31,182.05,$8.13,22.39
2019-12-31,233.65,$9.73,24.01
2019-09-30,223.23,$8.44,26.45
2019-06-30,215.24,$8.35,25.78
2018-12-31,188.65,$7.67,24.6
2018-09-30,194.68,$0.77,252.83
2018-06-30,193.59,$0.45,430.2
2018-03-31,198.65,$0.16,1241.56
2017-12-31,193.19,$0.39,495.36
2019-03-31,251.71,$6.14,41.0
2017-09-30,179.52,$6.78,26.48
2017-06-30,183.84,$6.62,27.77
2017-03-31,156.31,$6.56,23.83
2016-12-31,134.39,$6.40,21.0
2016-09-30,158.49,$6.08,26.07
2016-06-30,140.65,$5.95,23.64
2016-03-31,131.92,$5.65,23.35
2015-12-31,134.58,$5.65,23.82
2015-09-30,118.21,$5.62,21.03
2015-06-30,128.38,$5.56,23.09
2015-03-31,124.32,$5.42,22.94
2014-12-31,112.72,$5.09,22.15
2014-09-30,99.12,$4.94,20.06
2014-06-30,104.44,$4.74,22.03
2014-03-31,108.41,$4.64,23.36
2013-12-31,100.0,$5.21,19.19
2013-09-30,106.21,$5.56,19.1
2013-06-30,100.05,$5.54,18.06
2013-03-31,93.91,$5.60,16.77
2012-12-31,87.12,$5.19,16.79
2012-09-30,83.33,$4.70,17.73
2012-06-30,79.47,$4.68,16.98
2012-03-31,92.66,$4.66,19.88
2011-12-31,74.05,$4.69,15.79
2011-09-30,75.49,$4.54,16.63
2011-06-30,95.74,$4.46,21.47
2011-03-31,86.9,$4.29,20.26
2010-12-31,77.71,$4.07,19.09
2010-09-30,70.78,$3.79,18.68
2010-06-30,64.7,$3.56,18.17
2010-03-31,67.54,$3.38,19.98
2009-12-31,61.96,$3.34,18.55
