AvalonBay Communities PE Ratio Historical Data,AvalonBay Communities PE Ratio Historical Data,AvalonBay Communities PE Ratio Historical Data,AvalonBay Communities PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,195.34,,29.07
2024-03-31,185.56,$6.72,27.61
2023-12-31,185.5,$6.55,28.32
2023-09-30,168.7,$6.57,25.68
2023-06-30,184.14,$8.89,20.71
2023-03-31,162.09,$7.29,22.23
2022-12-31,154.22,$8.11,19.02
2022-09-30,174.16,$8.79,19.81
2022-06-30,182.08,$5.82,31.29
2022-03-31,230.93,$8.04,28.72
2021-12-31,233.38,$7.19,32.46
2021-09-30,202.05,$7.23,27.95
2021-06-30,190.25,$7.72,24.64
2021-03-31,166.94,$5.72,29.19
2020-12-31,143.93,$5.89,24.44
2020-09-30,132.65,$4.65,28.53
2020-06-30,135.89,$5.60,24.27
2020-03-31,128.0,$5.60,22.86
2019-12-31,180.49,$5.64,32.0
2019-09-30,183.99,$7.23,25.45
2019-06-30,172.39,$6.62,26.04
2019-03-31,169.03,$7.25,23.31
2018-12-31,145.47,$7.74,18.79
2018-09-30,150.12,$6.67,22.51
2018-06-30,141.28,$6.48,21.8
2017-12-31,144.1,$6.36,22.66
2017-09-30,142.97,$6.40,22.34
2017-06-30,152.77,$5.71,26.76
2017-03-31,144.89,$7.10,20.41
2016-12-31,138.73,$6.82,20.34
2018-03-31,134.02,$6.79,19.74
2016-09-30,138.2,$6.89,20.06
2016-06-30,139.14,$5.83,23.87
2016-03-31,145.61,$5.68,25.63
2015-12-31,139.96,$5.51,25.4
2015-09-30,132.0,$5.46,24.18
2015-06-30,119.81,$5.76,20.8
2015-03-31,129.59,$5.68,22.82
2014-12-31,120.65,$5.21,23.16
2014-09-30,103.38,$6.08,17.0
2014-06-30,103.42,$4.17,24.8
2014-03-31,94.74,$3.24,29.24
2013-12-31,84.54,$2.78,30.41
2013-09-30,90.06,$2.02,44.58
2013-06-30,94.82,$2.99,31.71
2013-03-31,88.33,$4.34,20.35
2012-12-31,93.76,$4.31,21.75
2012-09-30,93.37,$6.52,14.32
2012-06-30,96.45,$6.12,15.76
2012-03-31,95.68,$4.98,19.21
2011-12-31,87.79,$4.69,18.72
2011-09-30,76.14,$1.58,48.19
2011-06-30,85.07,$1.70,50.04
2010-12-31,73.5,$2.09,35.17
2010-09-30,67.33,$2.18,30.89
2010-06-30,59.98,$2.24,26.78
2010-03-31,54.97,$2.35,23.39
2009-12-31,51.74,$1.69,30.61
2011-03-31,79.0,$1.88,42.02
