Seagate Technology Holdings PE Ratio Historical Data,Seagate Technology Holdings PE Ratio Historical Data,Seagate Technology Holdings PE Ratio Historical Data,Seagate Technology Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,94.19,,0.0
2024-03-31,93.05,$-1.29,0.0
2023-12-31,85.37,$-3.50,0.0
2023-09-30,65.95,$-3.57,0.0
2023-06-30,61.87,$-2.55,0.0
2023-03-31,66.12,$-0.84,0.0
2022-12-31,52.61,$2.81,18.72
2022-09-30,53.23,$5.20,10.24
2022-06-30,70.62,$7.34,9.62
2022-03-31,87.99,$8.14,10.81
2021-12-31,109.75,$7.97,13.77
2021-09-30,79.65,$6.86,11.61
2021-06-30,84.18,$5.44,15.47
2021-03-31,72.91,$4.01,18.18
2020-12-31,58.51,$3.84,15.24
2020-09-30,45.9,$3.92,11.71
2020-06-30,44.49,$6.60,6.74
2020-03-31,44.26,$6.65,6.66
2019-12-31,53.17,$6.77,7.85
2019-06-30,41.15,$7.11,5.79
2019-03-31,41.25,$5.14,8.03
2018-12-31,32.8,$5.19,6.32
2018-09-30,39.58,$5.16,7.67
2018-06-30,46.59,$4.17,11.17
2019-09-30,47.55,$3.22,14.77
2018-03-31,47.77,$2.86,16.7
2017-12-31,33.8,$2.20,15.36
2017-09-30,26.4,$1.88,14.04
2017-06-30,30.25,$1.19,25.42
2017-03-31,35.32,$1.36,25.97
2016-06-30,17.87,$0.82,21.79
2016-03-31,24.47,$1.02,23.99
2015-12-31,25.53,$1.97,12.96
2015-09-30,30.7,$4.20,7.31
2015-06-30,32.19,$5.22,6.17
2015-03-31,34.94,$5.74,6.09
2014-12-31,44.26,$6.03,7.34
2014-09-30,37.79,$4.49,8.42
2014-06-30,37.21,$3.91,9.52
2014-03-31,36.46,$4.12,8.85
2013-12-31,36.15,$3.89,9.29
2016-09-30,28.78,$3.78,7.61
2013-09-30,27.91,$4.53,6.16
2013-06-30,28.33,$4.79,5.91
2013-03-31,22.88,$6.22,3.68
2012-12-31,19.04,$7.57,2.52
2012-09-30,18.91,$7.55,2.5
2012-06-30,14.96,$6.45,2.32
2012-03-31,16.18,$4.35,3.72
2011-12-31,9.75,$2.08,4.69
2011-09-30,6.04,$1.11,5.44
2011-06-30,9.37,$1.10,8.52
2011-03-31,8.27,$1.59,5.2
2010-12-31,8.63,$2.38,3.63
2010-09-30,6.76,$3.10,2.18
2010-06-30,7.49,$3.14,2.38
2010-03-31,10.48,$2.22,4.72
2009-12-31,10.44,$0.66,15.82
2009-09-30,8.73,$0.63,13.86
