Mondelez PE Ratio Historical Data,Mondelez PE Ratio Historical Data,Mondelez PE Ratio Historical Data,Mondelez PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,68.3,,21.68
2024-03-31,70.0,$3.15,22.22
2023-12-31,71.99,$3.63,19.83
2023-09-30,68.58,$3.35,20.47
2023-06-30,71.64,$3.02,23.72
2023-03-31,68.11,$2.87,23.73
2022-12-31,64.75,$1.96,33.04
2022-09-30,52.97,$2.25,23.54
2022-06-30,59.58,$2.75,21.66
2022-03-31,59.9,$2.97,20.17
2021-12-31,62.92,$3.04,20.7
2021-09-30,54.91,$3.13,17.54
2021-06-30,58.58,$3.02,19.4
2021-03-31,54.64,$2.64,20.7
2020-12-31,54.29,$2.48,21.89
2020-09-30,53.06,$2.18,24.34
2020-06-30,46.96,$2.38,19.73
2020-03-31,45.74,$2.55,17.94
2019-12-31,50.02,$2.66,18.81
2019-09-30,49.98,$2.72,18.38
2019-06-30,48.45,$2.55,19.0
2019-03-31,44.66,$2.22,20.12
2018-12-31,35.62,$2.21,16.12
2018-09-30,37.98,$2.18,17.42
2018-06-30,36.03,$2.02,17.84
2018-03-31,36.48,$2.12,17.21
2017-12-31,37.21,$1.91,19.48
2017-09-30,35.17,$1.44,24.42
2017-06-30,37.16,$1.14,32.59
2017-03-31,36.9,$1.11,33.25
2016-12-31,37.81,$1.05,36.01
2016-09-30,37.29,$0.53,70.35
2016-06-30,38.48,$4.64,8.29
2016-03-31,33.79,$4.60,7.35
2015-12-31,37.6,$4.44,8.47
2015-09-30,34.95,$5.19,6.73
2015-06-30,34.23,$1.26,27.17
2015-03-31,29.92,$1.37,21.84
2014-12-31,29.99,$1.27,23.61
2014-09-30,28.18,$1.98,14.23
2014-06-30,30.79,$2.02,15.24
2014-03-31,28.18,$2.00,14.09
2013-12-31,28.68,$2.23,12.86
2013-09-30,25.42,$1.53,16.62
2013-06-30,22.98,$1.32,17.41
2013-03-31,24.55,$1.56,15.74
2012-12-31,20.33,$1.70,11.96
2012-09-30,21.55,$1.87,11.52
2012-06-30,19.98,$2.03,9.84
2012-03-31,19.51,$2.00,9.76
2011-12-31,19.03,$1.99,9.56
2011-09-30,16.97,$1.83,9.28
2011-06-30,17.66,$1.74,10.15
2011-03-31,15.59,$1.72,9.06
2010-12-31,15.52,$2.43,6.39
2010-09-30,15.06,$2.60,5.79
2010-06-30,13.54,$2.72,4.98
2010-03-31,14.48,$2.75,5.26
2009-12-31,12.89,$2.04,6.32
