Kimberly-Clark PE Ratio Historical Data,Kimberly-Clark PE Ratio Historical Data,Kimberly-Clark PE Ratio Historical Data,Kimberly-Clark PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,131.94,,24.25
2024-03-31,129.35,$5.44,23.78
2023-12-31,120.34,$5.20,23.14
2023-09-30,118.54,$5.20,22.8
2023-06-30,134.17,$4.85,27.66
2023-03-31,129.31,$5.84,22.14
2022-12-31,129.54,$5.72,22.65
2022-09-30,106.49,$5.28,20.17
2022-06-30,126.71,$5.29,23.95
2022-03-31,114.43,$5.19,22.05
2021-12-31,131.61,$5.36,24.55
2021-09-30,120.94,$5.88,20.57
2021-06-30,121.16,$5.87,20.64
2021-03-31,124.84,$6.67,18.72
2020-12-31,119.98,$6.87,17.46
2020-09-30,130.39,$6.88,18.95
2020-06-30,123.95,$7.44,16.66
2020-03-31,111.26,$6.85,16.24
2019-12-31,118.8,$6.11,19.44
2019-09-30,121.76,$5.81,20.96
2019-06-30,113.41,$5.17,21.94
2018-12-31,95.36,$4.03,23.66
2018-09-30,94.27,$4.60,20.49
2018-06-30,86.64,$4.62,18.75
2018-03-31,89.7,$4.92,18.23
2017-12-31,97.41,$6.15,15.84
2019-03-31,104.62,$5.97,17.52
2017-09-30,94.24,$6.06,15.55
2017-06-30,102.56,$5.98,17.15
2017-03-31,103.79,$6.05,17.15
2016-12-31,89.33,$5.98,14.94
2016-09-30,97.95,$5.49,17.84
2016-06-30,105.99,$5.38,19.7
2016-03-31,102.97,$2.99,34.44
2015-12-31,96.77,$2.76,35.06
2015-09-30,82.28,$1.63,50.48
2015-06-30,79.3,$1.72,46.11
2015-03-31,79.51,$3.90,20.39
2014-12-31,85.07,$4.04,21.06
2014-09-30,75.4,$5.66,13.32
2014-06-30,77.35,$5.58,13.86
2014-03-31,76.1,$5.59,13.61
2013-12-31,71.55,$5.54,12.92
2013-09-30,64.04,$4.82,13.29
2013-06-30,65.45,$4.70,13.93
2013-03-31,65.47,$4.60,14.23
2012-12-31,55.93,$4.42,12.65
2012-09-30,56.34,$4.75,11.86
2012-06-30,54.53,$4.54,12.01
2012-03-31,47.66,$4.31,11.06
2011-12-31,46.96,$3.99,11.77
2011-09-30,44.88,$4.18,10.74
2011-06-30,41.65,$4.23,9.85
2011-03-31,40.41,$4.40,9.18
2010-12-31,38.61,$4.46,8.66
2010-09-30,39.42,$4.43,8.9
2010-06-30,36.38,$4.69,7.76
2010-03-31,37.32,$4.46,8.37
2009-12-31,37.4,$4.52,8.28
