MSCI Inc PE Ratio Historical Data,MSCI Inc PE Ratio Historical Data,MSCI Inc PE Ratio Historical Data,MSCI Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,493.0,,33.65
2024-03-31,558.65,$14.65,38.13
2023-12-31,562.27,$14.40,39.05
2023-09-30,508.63,$12.00,42.39
2023-06-30,464.05,$11.41,40.67
2023-03-31,551.82,$10.91,50.58
2022-12-31,457.49,$10.72,42.68
2022-09-30,413.71,$10.37,39.89
2022-06-30,403.25,$9.72,41.49
2022-03-31,490.7,$9.12,53.81
2021-12-31,596.69,$8.70,68.58
2021-09-30,591.49,$8.25,71.7
2021-06-30,517.46,$8.38,61.75
2021-03-31,406.3,$7.75,52.43
2020-12-31,431.94,$7.12,60.67
2020-09-30,344.43,$6.69,51.48
2020-06-30,321.57,$6.13,52.46
2020-03-31,277.81,$6.24,44.52
2019-12-31,247.69,$6.59,37.59
2019-09-30,208.34,$6.85,30.41
2019-06-30,227.77,$6.61,34.46
2019-03-31,189.18,$6.42,29.47
2018-12-31,139.8,$5.58,25.05
2018-09-30,167.59,$4.58,36.59
2018-06-30,155.75,$4.15,37.53
2018-03-31,140.39,$3.76,37.34
2017-12-31,118.55,$3.32,35.71
2017-09-30,109.18,$3.35,32.59
2017-06-30,95.87,$3.10,30.92
2017-03-31,90.21,$2.90,31.11
2016-12-31,72.9,$2.70,27.0
2016-09-30,77.41,$2.54,30.48
2016-06-30,70.89,$2.45,28.94
2016-03-31,67.9,$2.26,30.05
2015-12-31,65.91,$2.05,32.15
2015-09-30,54.16,$1.87,28.96
2015-06-30,55.87,$1.72,32.48
2015-03-31,55.49,$2.13,26.05
2014-12-31,42.8,$2.42,17.69
2014-09-30,42.25,$2.42,17.46
2014-06-30,41.19,$2.44,16.88
2014-03-31,38.65,$2.03,19.04
2013-12-31,39.28,$1.83,21.46
2013-09-30,36.17,$1.88,19.24
2013-06-30,29.89,$1.81,16.51
2013-03-31,30.48,$1.61,18.93
2012-12-31,27.84,$1.48,18.81
2012-09-30,32.16,$1.40,22.97
2012-06-30,30.57,$1.41,21.68
2012-03-31,33.07,$1.48,22.35
2011-12-31,29.59,$1.40,21.13
2011-09-30,27.25,$1.29,21.12
2011-06-30,33.85,$0.89,38.04
2011-03-31,33.08,$0.52,63.62
2010-12-31,35.0,$0.25,140.02
2010-08-31,26.86,0,0.0
2010-05-31,26.64,0,0.0
2010-02-28,26.94,0,0.0
2009-11-30,27.38,0,0.0
2009-08-31,26.43,0,0.0
