Merck PE Ratio Historical Data,Merck PE Ratio Historical Data,Merck PE Ratio Historical Data,Merck PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,129.49,,143.88
2024-03-31,131.95,$0.90,146.61
2023-12-31,108.33,$0.14,773.77
2023-09-30,101.56,$1.80,56.42
2023-06-30,113.07,$1.22,92.68
2023-03-31,103.55,$5.12,20.23
2022-12-31,107.26,$5.71,18.78
2022-09-30,82.71,$6.01,13.76
2022-06-30,86.87,$6.53,13.3
2022-03-31,77.55,$5.59,13.87
2021-12-31,71.8,$5.14,13.97
2021-09-30,69.71,$2.83,24.63
2021-06-30,71.54,$2.19,32.67
2021-03-31,70.31,$2.76,25.47
2020-12-31,73.96,$2.77,26.7
2020-09-30,74.4,$4.52,16.46
2020-06-30,68.86,$4.10,16.79
2020-03-31,67.97,$3.95,17.21
2019-12-31,79.71,$3.81,20.92
2019-09-30,73.27,$3.58,20.47
2019-06-30,72.5,$3.57,20.31
2019-03-31,71.44,$3.17,22.54
2018-12-31,65.2,$2.32,28.1
2018-09-30,60.1,$1.31,45.87
2018-06-30,51.07,$0.56,91.2
2018-03-31,45.47,$0.64,71.05
2017-12-31,46.57,$0.93,50.07
2017-09-30,52.54,$1.67,31.46
2017-06-30,52.22,$2.47,21.14
2017-03-31,51.39,$2.19,23.47
2016-12-31,47.27,$2.03,23.28
2016-09-30,49.73,$1.96,25.37
2016-06-30,45.57,$1.82,25.04
2016-03-31,41.51,$1.63,25.47
2015-12-31,41.08,$1.56,26.34
2015-09-30,38.08,$3.75,10.15
2015-06-30,43.52,$3.42,12.72
2015-03-31,43.6,$3.86,11.3
2014-12-31,42.74,$4.10,10.42
2014-09-30,44.28,$1.82,24.33
2014-06-30,42.89,$1.89,22.7
2014-03-31,41.78,$1.51,27.67
2013-12-31,36.54,$1.46,25.03
2013-09-30,34.45,$1.66,20.75
2013-06-30,33.31,$1.84,18.1
2013-03-31,31.41,$2.12,14.82
2012-12-31,28.82,$2.16,13.34
2012-09-30,31.44,$2.19,14.35
2012-06-30,28.83,$2.18,13.23
2012-03-31,26.23,$2.25,11.66
2011-12-31,25.48,$2.03,12.55
2011-09-30,21.83,$1.37,15.94
2011-06-30,23.29,$0.93,25.04
2011-03-31,21.55,$0.52,41.44
2010-12-31,23.26,$0.28,83.06
2010-09-30,23.51,$2.81,8.37
2010-06-30,22.1,$4.31,5.13
2010-03-31,23.35,$4.81,4.85
2009-12-31,22.61,$5.38,4.2
