Exxon PE Ratio Historical Data,Exxon PE Ratio Historical Data,Exxon PE Ratio Historical Data,Exxon PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,113.42,,12.76
2023-12-31,98.26,$8.89,11.05
2023-09-30,114.51,$10.07,11.37
2023-06-30,103.58,$9.88,10.48
2023-03-31,105.0,$12.62,8.32
2022-12-31,104.8,$14.04,7.46
2024-03-31,115.31,$12.23,9.43
2022-09-30,82.3,$12.25,6.72
2022-06-30,79.97,$9.14,8.75
2022-03-31,76.34,$6.03,12.66
2021-12-31,55.94,$5.39,10.38
2021-09-30,53.04,$-1.39,0.0
2021-06-30,56.04,$-3.11,0.0
2021-03-31,48.89,$-4.47,0.0
2020-12-31,35.48,$-5.25,0.0
2020-09-30,28.87,$0.78,37.01
2020-06-30,36.88,$1.68,21.95
2020-03-31,30.71,$2.67,11.5
2019-12-31,55.63,$3.36,16.56
2019-09-30,55.61,$3.44,16.16
2019-06-30,59.6,$4.15,14.36
2019-03-31,62.14,$4.34,14.32
2018-12-31,51.87,$4.88,10.63
2018-09-30,64.02,$5.44,11.77
2018-06-30,61.66,$4.91,12.56
2018-03-31,55.05,$4.77,11.54
2017-12-31,61.09,$4.63,13.2
2017-09-30,59.33,$3.07,19.33
2017-06-30,57.86,$2.77,20.89
2017-03-31,58.23,$2.40,24.26
2016-12-31,63.5,$1.88,33.78
2016-09-30,60.87,$2.14,28.45
2016-06-30,64.82,$2.52,25.72
2016-03-31,57.31,$3.11,18.43
2015-12-31,52.96,$3.85,13.76
2015-09-30,50.07,$4.74,10.56
2015-06-30,55.51,$5.62,9.88
2015-03-31,56.24,$6.67,8.43
2014-12-31,60.71,$7.60,7.99
2014-09-30,61.32,$7.95,7.71
2014-06-30,65.19,$7.85,8.3
2014-03-31,62.82,$7.35,8.55
2013-12-31,64.63,$7.37,8.77
2013-09-30,54.57,$7.66,7.12
2013-06-30,56.91,$7.96,7.15
2013-03-31,56.37,$9.82,5.74
2012-12-31,53.8,$9.70,5.55
2012-09-30,56.48,$9.47,5.96
2012-06-30,52.51,$9.51,5.52
2012-03-31,52.86,$8.28,6.38
2011-12-31,51.37,$8.42,6.1
2011-09-30,43.76,$8.30,5.27
2011-06-30,48.7,$7.61,6.4
2011-03-31,50.05,$7.03,7.12
2010-12-31,43.27,$6.22,6.96
2010-09-30,36.34,$5.64,6.44
2010-06-30,33.32,$5.18,6.43
2010-03-31,38.84,$4.39,8.85
2009-12-31,39.29,$3.98,9.87
