KeyCorp PE Ratio Historical Data,KeyCorp PE Ratio Historical Data,KeyCorp PE Ratio Historical Data,KeyCorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,14.48,,18.33
2024-03-31,15.59,$0.79,19.73
2023-12-31,13.99,$0.89,15.72
2023-09-30,10.27,$1.24,8.29
2023-06-30,8.66,$1.50,5.77
2023-03-31,11.5,$1.77,6.49
2022-12-31,15.82,$1.92,8.24
2022-09-30,14.38,$2.18,6.6
2022-06-30,15.3,$2.28,6.71
2022-03-31,19.69,$2.47,7.97
2021-12-31,20.19,$2.63,7.68
2021-09-30,18.71,$2.56,7.31
2021-06-30,17.71,$2.32,7.63
2021-03-31,17.0,$1.76,9.66
2020-12-31,13.84,$1.27,10.9
2020-09-30,9.94,$1.15,8.64
2020-06-30,10.0,$1.13,8.85
2020-03-31,8.38,$1.36,6.16
2019-12-31,16.18,$1.62,9.99
2019-09-30,14.13,$1.62,8.72
2019-06-30,13.89,$1.68,8.27
2019-03-31,12.2,$1.72,7.1
2018-12-31,11.34,$1.72,6.59
2018-09-30,15.12,$1.44,10.5
2018-06-30,14.74,$1.31,11.25
2018-03-31,14.66,$1.23,11.92
2017-12-31,15.05,$1.12,13.44
2017-09-30,13.96,$1.14,12.24
2017-06-30,13.83,$0.98,14.11
2017-03-31,13.05,$0.85,15.35
2016-12-31,13.35,$0.80,16.68
2016-09-30,8.85,$0.87,10.17
2016-06-30,7.97,$0.96,8.31
2016-03-31,7.91,$0.99,7.99
2015-12-31,9.39,$1.05,8.94
2015-09-30,9.21,$1.02,9.03
2015-03-31,9.92,$1.01,9.82
2014-12-31,9.69,$1.01,9.6
2014-09-30,9.25,$0.98,9.44
2014-06-30,9.9,$1.02,9.7
2014-03-31,9.79,$1.07,9.15
2013-12-31,9.18,$1.03,8.92
2015-06-30,10.58,$0.99,10.68
2013-09-30,7.77,$0.93,8.35
2013-06-30,7.49,$0.87,8.61
2013-03-31,6.72,$0.89,7.55
2012-12-31,5.65,$0.88,6.42
2012-09-30,5.83,$0.87,6.7
2012-06-30,5.13,$0.86,5.97
2012-03-31,5.6,$0.87,6.44
2011-12-31,5.05,$0.86,5.87
2011-09-30,3.88,$0.98,3.95
2011-06-30,5.42,$0.96,5.64
2011-03-31,5.76,$0.74,7.78
2010-12-31,5.73,$0.44,13.02
2010-09-30,5.15,$-0.18,0.0
2010-06-30,4.97,$-0.90,0.0
2010-03-31,5.0,$-1.61,0.0
2009-12-31,3.57,$-2.59,0.0
