Fidelity National Information Services PE Ratio Historical Data,Fidelity National Information Services PE Ratio Historical Data,Fidelity National Information Services PE Ratio Historical Data,Fidelity National Information Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,77.79,,0.0
2024-03-31,74.18,$-10.23,0.0
2023-12-31,59.76,$-11.24,0.0
2023-09-30,54.5,$-40.94,0.0
2023-06-30,53.43,$-39.77,0.0
2023-03-31,52.57,$-28.18,0.0
2022-12-31,65.08,$-28.22,0.0
2022-09-30,72.0,$1.53,47.06
2022-06-30,86.87,$1.38,62.95
2022-03-31,94.71,$1.48,63.99
2021-12-31,102.41,$0.68,150.61
2021-09-30,113.74,$0.37,307.41
2021-06-30,132.02,$0.14,943.03
2021-03-31,130.69,$-0.38,0.0
2020-12-31,131.12,$0.24,546.35
2020-09-30,136.13,$-0.18,0.0
2020-06-30,123.7,$0.08,1546.27
2020-03-31,111.92,$0.52,215.24
2019-12-31,127.6,$0.95,134.32
2019-09-30,121.49,$2.12,57.3
2019-06-30,111.97,$2.30,48.68
2019-03-31,102.93,$2.47,41.67
2018-12-31,93.02,$2.56,36.34
2018-09-30,98.64,$4.58,21.54
2018-06-30,95.61,$4.29,22.29
2018-03-31,86.58,$4.05,21.38
2017-12-31,84.32,$3.92,21.51
2017-09-30,83.44,$1.62,51.51
2017-06-30,76.06,$2.00,38.03
2017-03-31,70.67,$1.97,35.87
2016-12-31,66.91,$1.73,38.67
2016-09-30,67.9,$1.45,46.83
2016-06-30,64.73,$1.51,42.87
2016-03-31,55.42,$1.98,27.99
2015-12-31,52.83,$2.20,24.01
2015-09-30,58.23,$2.53,23.02
2015-06-30,53.45,$2.43,21.99
2015-03-31,58.62,$2.21,26.52
2014-12-31,53.36,$2.35,22.71
2014-09-30,48.11,$1.92,25.06
2014-06-30,46.58,$1.99,23.41
2014-03-31,45.28,$1.73,26.17
2013-12-31,45.27,$1.69,26.79
2013-09-30,38.99,$1.90,20.52
2013-06-30,35.8,$1.60,22.37
2013-03-31,32.94,$1.74,18.93
2012-12-31,28.78,$1.54,18.69
2012-09-30,25.67,$1.47,17.46
2012-06-30,27.84,$1.62,17.19
2012-03-31,26.89,$1.52,17.69
2011-12-31,21.46,$1.53,14.02
2011-09-30,19.59,$1.50,13.06
2011-06-30,24.75,$1.39,17.81
2011-03-31,26.24,$1.22,21.5
2010-12-31,21.95,$1.17,18.76
2010-09-30,21.7,$0.67,32.39
2010-06-30,21.41,$0.69,31.03
2010-03-31,18.68,$0.77,24.26
2009-12-31,18.64,$0.69,27.01
