Visa PE Ratio Historical Data,Visa PE Ratio Historical Data,Visa PE Ratio Historical Data,Visa PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,274.49,,30.67
2024-03-31,278.56,$8.95,31.12
2023-12-31,259.38,$8.69,29.85
2023-09-30,228.66,$8.29,27.58
2023-06-30,235.65,$7.88,29.9
2023-03-31,223.29,$7.48,29.85
2022-12-31,205.35,$7.15,28.72
2022-09-30,175.19,$6.99,25.06
2022-06-30,193.82,$6.78,28.59
2022-03-31,217.89,$6.36,34.26
2021-12-31,212.56,$6.04,35.19
2021-09-30,218.11,$5.63,38.74
2021-06-30,228.63,$4.95,46.19
2021-03-31,206.73,$4.84,42.71
2020-12-31,213.24,$4.84,44.06
2020-09-30,194.66,$4.88,39.89
2020-06-30,187.75,$5.25,35.76
2020-03-31,156.34,$5.55,28.17
2019-12-31,182.06,$5.48,33.22
2019-09-30,166.38,$5.32,31.28
2019-06-30,167.87,$5.21,32.22
2019-03-31,150.85,$4.84,31.17
2018-12-31,127.21,$4.64,27.42
2018-09-30,144.45,$4.41,32.76
2018-06-30,127.29,$4.08,31.2
2018-03-31,114.77,$3.94,29.13
2017-12-31,109.21,$3.01,36.28
2017-09-30,100.62,$2.80,35.94
2017-06-30,89.52,$2.69,33.28
2017-03-31,84.68,$2.00,42.34
2016-12-31,74.21,$2.53,29.33
2016-09-30,78.49,$2.47,31.78
2016-06-30,70.28,$2.30,30.56
2016-03-31,72.33,$2.82,25.65
2015-12-31,73.2,$2.74,26.72
2015-09-30,65.64,$2.57,25.52
2015-06-30,63.17,$2.38,26.52
2015-03-31,61.43,$2.24,27.48
2014-12-31,61.45,$2.24,27.49
2014-09-30,49.91,$2.15,23.19
2014-06-30,49.19,$2.19,22.51
2014-03-31,50.3,$2.11,23.81
2013-12-31,51.8,$1.96,26.39
2013-09-30,44.36,$1.90,23.41
2013-06-30,42.35,$2.05,20.66
2013-03-31,39.28,$0.90,43.89
2012-12-31,34.99,$0.89,39.2
2012-09-30,30.92,$0.78,39.51
2012-06-30,28.42,$0.48,58.9
2012-03-31,27.07,$1.53,17.75
2011-12-31,23.25,$1.36,17.16
2011-09-30,19.58,$1.29,15.18
2011-06-30,19.22,$1.24,15.53
2011-03-31,16.76,$1.12,14.93
2010-12-31,15.99,$1.06,15.15
2010-09-30,16.84,$1.00,16.79
2010-06-30,16.01,$0.91,17.6
2010-03-31,20.57,$0.91,22.61
2009-12-31,19.74,$0.85,23.29
