Xcel Energy PE Ratio Historical Data,Xcel Energy PE Ratio Historical Data,Xcel Energy PE Ratio Historical Data,Xcel Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,53.72,,16.13
2024-03-31,53.75,$3.33,16.14
2023-12-31,61.26,$3.21,19.09
2023-09-30,56.15,$3.16,17.77
2023-06-30,60.47,$3.15,19.2
2023-03-31,65.05,$3.23,20.14
2022-12-31,67.1,$3.17,21.17
2022-09-30,60.83,$3.06,19.88
2022-06-30,66.82,$3.01,22.2
2022-03-31,67.65,$2.99,22.63
2021-12-31,63.02,$2.96,21.29
2021-09-30,57.78,$2.92,19.79
2021-06-30,60.49,$2.93,20.64
2021-03-31,60.66,$2.89,20.99
2020-12-31,60.36,$2.78,21.71
2020-09-30,62.07,$2.80,22.17
2020-06-30,55.87,$2.67,20.93
2020-03-31,53.54,$2.59,20.67
2019-12-31,55.98,$2.64,21.21
2019-09-30,56.85,$2.50,22.74
2019-06-30,51.79,$2.45,21.14
2019-03-31,48.6,$2.51,19.36
2018-12-31,42.3,$2.47,17.12
2018-09-30,40.22,$2.42,16.62
2018-06-30,38.61,$2.43,15.89
2018-03-31,38.11,$2.36,16.15
2017-12-31,39.96,$2.26,17.68
2017-09-30,39.01,$2.34,16.67
2017-06-30,37.55,$2.27,16.54
2017-03-31,36.1,$2.21,16.34
2016-12-31,32.78,$2.21,14.83
2016-09-30,32.86,$2.17,15.14
2016-06-30,35.47,$2.11,16.81
2016-03-31,32.87,$2.11,15.58
2015-12-31,27.99,$1.94,14.43
2015-09-30,27.35,$1.92,14.24
2015-06-30,24.62,$1.81,13.6
2015-03-31,26.37,$1.81,14.57
2014-12-31,26.95,$2.03,13.28
2014-09-30,22.62,$1.94,11.66
2014-06-30,23.75,$1.94,12.24
2014-03-31,22.16,$1.95,11.36
2013-12-31,20.19,$1.91,10.57
2013-09-30,19.76,$1.90,10.4
2013-06-30,20.07,$1.98,10.14
2013-03-31,20.84,$1.96,10.63
2012-12-31,18.56,$1.86,9.98
2012-09-30,19.07,$1.86,10.25
2012-06-30,19.36,$1.74,11.13
2012-03-31,17.87,$1.69,10.57
2011-12-31,18.48,$1.73,10.68
2011-09-30,16.35,$1.73,9.45
2011-06-30,15.92,$1.71,9.31
2011-03-31,15.49,$1.68,9.22
2010-12-31,15.11,$1.62,9.33
2010-09-30,14.58,$1.70,8.58
2010-06-30,12.94,$1.51,8.57
2010-03-31,13.15,$1.46,9.01
2009-12-31,13.01,$1.48,8.79
