Sherwin-Williams PE Ratio Historical Data,Sherwin-Williams PE Ratio Historical Data,Sherwin-Williams PE Ratio Historical Data,Sherwin-Williams PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,304.84,,32.5
2024-03-31,346.54,$9.38,36.94
2023-12-31,310.5,$9.25,33.57
2023-09-30,253.34,$9.34,27.12
2023-06-30,263.14,$9.01,29.21
2023-03-31,222.18,$8.15,27.26
2022-12-31,233.96,$7.72,30.31
2022-09-30,201.33,$7.39,27.24
2022-06-30,219.64,$6.65,33.03
2022-03-31,244.3,$6.86,35.61
2021-12-31,343.88,$6.96,49.41
2021-09-30,272.7,$7.30,37.37
2021-06-30,265.12,$7.97,33.26
2021-03-31,238.92,$7.71,30.99
2020-12-31,237.34,$7.35,32.28
2020-09-30,224.59,$6.75,33.26
2020-06-30,185.89,$6.25,29.73
2020-03-31,147.48,$5.77,25.56
2019-12-31,186.8,$5.49,34.03
2019-09-30,175.69,$4.96,35.42
2019-06-30,146.43,$4.15,35.31
2019-03-31,137.26,$3.89,35.31
2018-12-31,125.07,$3.89,32.18
2018-09-30,144.4,$6.66,21.68
2018-06-30,129.04,$6.53,19.76
2018-03-31,123.86,$6.23,19.87
2017-12-31,129.25,$6.20,20.83
2017-09-30,112.61,$3.79,29.71
2017-06-30,110.1,$4.04,27.25
2017-03-31,97.06,$4.25,22.84
2016-12-31,83.86,$3.93,21.34
2016-09-30,86.06,$3.92,21.95
2016-06-30,91.08,$3.88,23.45
2016-03-31,88.04,$3.79,23.25
2015-12-31,80.03,$3.72,21.49
2015-09-30,68.5,$3.47,19.72
2015-06-30,84.36,$3.27,25.82
2015-03-31,87.07,$3.01,28.89
2014-12-31,80.31,$2.93,27.38
2014-09-30,66.71,$2.86,23.35
2014-06-30,62.87,$2.59,24.27
2014-03-31,59.73,$2.43,24.58
2013-12-31,55.45,$2.42,22.91
2013-09-30,54.9,$2.41,22.75
2013-06-30,53.06,$2.31,22.97
2013-03-31,50.61,$2.21,22.87
2012-12-31,45.95,$2.16,21.27
2012-09-30,44.37,$1.83,24.2
2012-06-30,39.32,$1.66,23.74
2012-03-31,32.18,$1.49,21.65
2011-12-31,26.33,$1.38,19.08
2011-09-30,21.83,$1.56,14.02
2011-06-30,24.51,$1.52,16.13
2011-03-31,24.44,$1.51,16.15
2010-12-31,24.27,$1.40,17.29
2010-09-30,21.67,$1.37,15.78
2010-06-30,19.85,$1.34,14.78
2010-03-31,19.33,$1.25,15.5
2009-12-31,17.51,$1.25,13.97
