LKQ PE Ratio Historical Data,LKQ PE Ratio Historical Data,LKQ PE Ratio Historical Data,LKQ PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,42.92,,13.94
2024-03-31,53.05,$3.08,17.22
2023-12-31,47.19,$3.21,14.7
2023-09-30,48.57,$3.50,13.88
2023-06-30,56.87,$4.21,13.51
2022-12-31,51.61,$4.11,12.56
2022-09-30,45.33,$4.20,10.79
2022-06-30,46.98,$4.26,11.03
2022-03-31,43.24,$3.73,11.59
2021-12-31,56.87,$3.79,15.0
2023-03-31,55.13,$3.86,14.28
2021-09-30,47.46,$3.44,13.8
2021-06-30,46.42,$3.12,14.88
2021-03-31,39.92,$2.50,15.97
2020-12-31,33.24,$2.09,15.9
2020-09-30,26.15,$1.96,13.34
2020-06-30,24.71,$1.81,13.65
2020-03-31,19.34,$1.90,10.18
2019-12-31,33.67,$1.54,21.86
2019-09-30,29.66,$1.50,19.78
2019-06-30,25.1,$1.51,16.62
2018-12-31,22.38,$1.52,14.72
2018-09-30,29.87,$1.81,16.5
2018-06-30,30.09,$1.70,17.7
2018-03-31,35.79,$1.59,22.51
2017-12-31,38.36,$1.59,24.12
2019-03-31,26.77,$1.63,16.42
2017-09-30,33.94,$1.60,21.22
2017-06-30,31.08,$1.61,19.3
2017-03-31,27.61,$1.58,17.47
2016-12-31,28.91,$1.49,19.4
2016-09-30,33.44,$1.52,22.0
2016-06-30,29.9,$1.45,20.62
2016-03-31,30.12,$1.38,21.82
2015-12-31,27.95,$1.38,20.25
2015-09-30,26.75,$1.33,20.11
2015-06-30,28.53,$1.30,21.94
2015-03-31,24.11,$1.25,19.29
2014-12-31,26.52,$1.24,21.39
2014-09-30,25.08,$1.24,20.22
2014-06-30,25.17,$1.18,21.33
2014-03-31,24.85,$1.09,22.8
2013-12-31,31.03,$1.03,30.13
2013-09-30,30.06,$0.98,30.67
2013-06-30,24.29,$0.92,26.4
2013-03-31,20.52,$0.89,23.19
2012-12-31,19.9,$0.80,25.03
2012-09-30,17.43,$0.75,23.23
2012-06-30,15.73,$0.73,21.55
2011-12-31,14.19,$0.71,19.98
2011-09-30,11.39,$0.66,17.26
2011-06-30,12.3,$0.77,16.08
2011-03-31,11.37,$0.73,15.57
2010-12-31,10.71,$0.67,16.11
2012-03-31,14.7,$0.71,20.7
2010-09-30,9.81,$0.57,17.21
2010-06-30,9.09,$0.55,16.68
2010-03-31,9.57,$0.52,18.59
2009-12-31,9.24,$0.45,20.76
