EQT PE Ratio Historical Data,EQT PE Ratio Historical Data,EQT PE Ratio Historical Data,EQT PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,40.15,,29.09
2024-03-31,36.93,$1.38,26.76
2023-12-31,38.34,$4.25,9.02
2023-09-30,40.09,$7.40,5.42
2023-06-30,40.49,$8.89,4.55
2023-03-31,31.27,$11.26,2.78
2022-12-31,32.99,$4.11,8.03
2022-09-30,39.6,$4.52,8.76
2022-06-30,33.31,$-2.72,0.0
2022-03-31,33.21,$-8.26,0.0
2021-12-31,20.93,$-4.36,0.0
2021-09-30,19.64,$-8.82,0.0
2021-06-30,21.36,$-5.62,0.0
2021-03-31,17.83,$-2.92,0.0
2020-12-31,12.2,$-7.38,0.0
2020-09-30,12.41,$-9.02,0.0
2020-03-31,6.79,$-6.18,0.0
2019-12-31,10.4,$-4.78,0.0
2019-09-30,10.13,$-2.67,0.0
2019-06-30,15.01,$-2.29,0.0
2019-03-31,19.67,$-2.93,0.0
2018-12-31,17.88,$-3.61,0.0
2020-06-30,11.42,$-7.10,0.0
2018-09-30,22.71,$-0.24,0.0
2018-06-30,28.31,$0.04,707.85
2018-03-31,24.36,$0.92,26.48
2017-12-31,29.17,$5.80,5.03
2017-09-30,33.42,$-0.08,0.0
2017-03-31,31.27,$-1.76,0.0
2016-12-31,33.45,$-2.67,0.0
2016-09-30,37.13,$-2.44,0.0
2016-06-30,39.57,$-2.12,0.0
2016-03-31,34.36,$-0.53,0.0
2015-12-31,26.62,$0.57,46.69
2015-09-30,33.05,$1.35,24.48
2015-06-30,41.49,$1.73,23.99
2015-03-31,42.26,$2.42,17.46
2014-12-31,38.59,$2.03,19.01
2014-09-30,46.65,$2.71,17.21
2014-06-30,54.46,$2.63,20.71
2013-12-31,45.51,$2.56,17.78
2013-09-30,44.96,$2.13,21.11
2013-06-30,40.2,$2.81,14.31
2013-03-31,34.3,$2.45,14.0
2012-12-31,29.85,$2.00,14.92
2014-03-31,49.17,$2.16,22.76
2012-09-30,29.75,$1.50,19.83
2012-06-30,26.94,$2.48,10.86
2012-03-31,24.11,$2.85,8.46
2011-12-31,27.28,$3.19,8.55
2011-09-30,26.47,$3.08,8.6
2011-06-30,25.96,$2.13,12.19
2011-03-31,24.56,$1.75,14.03
2010-12-31,21.97,$1.58,13.9
2010-09-30,17.56,$1.33,13.21
2010-06-30,17.5,$1.51,11.59
2010-03-31,19.75,$1.33,14.85
2017-06-30,30.0,$0.88,34.09
2009-12-31,21.05,$1.19,17.69
