Fox PE Ratio Historical Data,Fox PE Ratio Historical Data,Fox PE Ratio Historical Data,Fox PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,33.61,,10.54
2024-03-31,31.27,$3.19,9.8
2023-12-31,29.67,$1.69,17.56
2023-09-30,31.2,$2.04,15.29
2023-06-30,34.0,$2.32,14.66
2023-03-31,34.05,$2.13,15.99
2022-12-31,30.37,$2.73,11.12
2022-09-30,30.68,$2.00,15.34
2022-06-30,31.93,$2.11,15.13
2022-03-31,39.16,$1.99,19.68
2021-12-31,36.42,$2.45,14.87
2021-09-30,39.59,$2.97,13.33
2021-06-30,36.41,$3.59,10.14
2021-03-31,35.41,$3.36,10.54
2020-12-31,28.4,$2.53,11.22
2020-09-30,27.14,$2.64,10.28
2020-06-30,25.94,$1.61,16.11
2020-03-31,22.85,$2.14,10.68
2019-12-31,35.58,$2.86,12.44
2019-09-30,30.27,$2.38,12.72
2019-06-30,34.93,$1.58,22.11
2019-03-31,34.78,$0.85,40.92
2018-12-31,45.59,0,0.0
2018-09-30,43.89,0,0.0
2018-06-30,47.08,0,0.0
