CrowdStrike PE Ratio Historical Data,CrowdStrike PE Ratio Historical Data,CrowdStrike PE Ratio Historical Data,CrowdStrike PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,351.47,,2196.69
2024-01-31,292.5,$0.16,1828.13
2023-10-31,176.77,$-0.30,0.0
2023-07-31,161.66,$-0.62,0.0
2023-01-31,105.9,$-0.79,0.0
2022-10-31,161.2,$-0.77,0.0
2022-07-31,183.6,$-0.53,0.0
2022-04-30,198.76,$-0.54,0.0
2022-01-31,180.64,$-0.65,0.0
2023-04-30,120.05,$-0.85,0.0
2021-10-31,281.8,$-0.94,0.0
2021-07-31,253.61,$-0.83,0.0
2021-04-30,208.51,$-0.72,0.0
2021-01-31,215.8,$-0.43,0.0
2020-10-31,123.84,$-0.48,0.0
2020-07-31,113.2,$-0.54,0.0
2020-04-30,67.66,$-0.80,0.0
