Camden Property Trust PE Ratio Historical Data,Camden Property Trust PE Ratio Historical Data,Camden Property Trust PE Ratio Historical Data,Camden Property Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,103.6,,25.39
2024-03-31,98.4,$4.08,24.12
2023-12-31,98.25,$3.73,26.34
2023-09-30,92.68,$1.97,47.04
2023-06-30,105.56,$6.07,17.39
2022-12-31,106.46,$5.99,17.77
2022-09-30,112.74,$7.59,14.85
2022-06-30,125.92,$7.61,16.55
2022-03-31,154.54,$3.37,45.86
2021-12-31,165.23,$2.92,56.59
2021-09-30,135.73,$1.19,114.06
2021-06-30,121.44,$1.25,97.15
2021-03-31,99.99,$1.12,89.27
2020-12-31,90.12,$1.24,72.67
2020-09-30,79.58,$1.90,41.88
2020-06-30,80.83,$1.99,40.62
2020-03-31,69.57,$2.25,30.92
2019-12-31,92.24,$2.22,41.55
2019-09-30,95.78,$1.68,57.01
2019-06-30,89.42,$1.64,54.52
2019-03-31,86.28,$1.61,53.59
2018-12-31,74.26,$1.62,45.84
2018-09-30,78.26,$2.12,36.91
2018-06-30,75.58,$2.10,35.99
2018-03-31,69.23,$2.13,32.5
2017-12-31,75.02,$2.10,35.73
2017-09-30,73.92,$1.64,45.08
2017-06-30,68.56,$4.47,15.34
2017-03-31,63.96,$8.96,7.14
2016-12-31,66.21,$9.04,7.32
2016-09-30,65.33,$9.26,7.06
2016-06-30,65.1,$6.46,10.08
2016-03-31,61.38,$1.94,31.64
2015-12-31,55.53,$2.75,20.19
2015-09-30,52.96,$4.06,13.04
2015-06-30,52.72,$4.08,12.92
2015-03-31,54.93,$4.08,13.46
2014-12-31,51.45,$3.26,15.78
2014-09-30,47.32,$2.74,17.27
2014-06-30,48.66,$3.11,15.65
2014-03-31,45.62,$3.52,12.96
2013-12-31,38.16,$3.79,10.07
2013-09-30,40.77,$3.93,10.37
2013-06-30,45.42,$3.48,13.05
2013-03-31,44.71,$2.93,15.26
2012-12-31,44.0,$3.28,13.42
2012-09-30,41.25,$2.30,17.94
2012-06-30,42.92,$2.11,20.34
2012-03-31,41.34,$1.62,25.52
2011-12-31,38.8,$0.65,59.69
2011-09-30,34.16,$0.27,126.51
2011-06-30,38.98,$0.13,299.85
2011-03-31,34.55,$0.39,88.58
2010-12-31,32.53,$0.32,101.67
2010-09-30,28.66,$-1.12,0.0
2010-06-30,24.18,$-1.08,0.0
2010-03-31,24.38,$-0.81,0.0
2009-12-31,24.56,$-0.73,0.0
2009-09-30,23.09,$0.86,26.85
