News PE Ratio Historical Data,News PE Ratio Historical Data,News PE Ratio Historical Data,News PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,27.52,,76.44
2024-03-31,27.06,$0.36,75.17
2023-12-31,25.63,$0.40,64.07
2023-09-30,20.79,$0.25,83.17
2023-06-30,19.56,$0.39,50.15
2023-03-31,17.29,$0.54,32.01
2022-12-31,18.17,$0.85,21.38
2022-06-30,15.57,$1.06,14.69
2022-03-31,22.07,$0.85,25.96
2021-12-31,21.94,$0.78,28.13
2021-09-30,22.66,$0.51,44.42
2021-06-30,23.64,$0.57,41.47
2022-09-30,15.2,$0.65,23.38
2021-03-31,22.77,$-0.09,0.0
2020-12-31,17.18,$-1.46,0.0
2020-09-30,13.52,$-1.71,0.0
2020-06-30,11.48,$-2.16,0.0
2020-03-31,8.64,$-1.58,0.0
2019-12-31,13.81,$-0.32,0.0
2019-09-30,13.61,$-0.30,0.0
2019-06-30,13.2,$0.26,50.77
2019-03-31,11.81,$-0.29,0.0
2018-12-31,10.92,$-2.25,0.0
2018-09-30,12.86,$-2.55,0.0
2018-06-30,14.87,$-2.60,0.0
2018-03-31,15.11,$-2.70,0.0
2017-12-31,15.49,$-0.77,0.0
2017-09-30,12.73,$-1.13,0.0
2017-06-30,13.1,$-1.28,0.0
2017-03-31,12.5,$-0.39,0.0
2016-12-31,10.84,$-0.64,0.0
2016-09-30,13.06,$-0.03,0.0
2016-06-30,10.65,$-0.65,0.0
2016-03-31,12.09,$-0.76,0.0
2015-12-31,12.63,$-0.26,0.0
2015-06-30,12.79,$-0.26,0.0
2015-03-31,14.25,$0.41,34.75
2014-12-31,13.54,$0.67,20.21
2014-09-30,14.48,$0.51,28.4
2014-06-30,15.67,$0.66,23.74
2015-09-30,11.59,$0.69,16.8
2014-03-31,14.99,$-1.55,0.0
