Willis Towers Watson Public PE Ratio Historical Data,Willis Towers Watson Public PE Ratio Historical Data,Willis Towers Watson Public PE Ratio Historical Data,Willis Towers Watson Public PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,253.2,,25.4
2024-03-31,275.0,$9.97,27.58
2023-12-31,241.2,$10.02,24.07
2023-09-30,208.96,$9.45,22.11
2023-06-30,234.57,$9.88,23.74
2023-03-31,230.63,$9.97,23.13
2022-12-31,241.85,$9.12,26.52
2022-09-30,198.04,$22.91,8.64
2022-06-30,193.75,$28.18,6.88
2022-03-31,230.92,$28.62,8.07
2021-12-31,231.37,$33.22,6.96
2021-09-30,225.71,$17.69,12.76
2021-06-30,222.56,$11.63,19.14
2021-03-31,220.86,$10.94,20.19
2020-12-31,202.68,$7.65,26.49
2020-09-30,200.2,$8.17,24.5
2020-06-30,188.2,$7.82,24.07
2020-03-31,161.74,$8.16,19.82
2019-12-31,191.54,$8.02,23.88
2019-09-30,182.44,$6.73,27.11
2019-06-30,180.48,$6.48,27.85
2019-03-31,164.94,$5.86,28.15
2018-12-31,142.07,$5.27,26.96
2018-09-30,131.34,$4.22,31.12
2018-06-30,140.67,$3.49,40.31
2018-03-31,140.66,$3.29,42.75
2017-12-31,138.72,$4.18,33.19
2017-09-30,141.49,$2.59,54.63
2017-06-30,132.99,$2.76,48.18
2017-03-31,119.24,$3.03,39.35
2016-12-31,110.94,$2.28,48.66
