JPMorgan Chase PE Ratio Historical Data,JPMorgan Chase PE Ratio Historical Data,JPMorgan Chase PE Ratio Historical Data,JPMorgan Chase PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,200.71,,12.12
2024-03-31,199.13,$16.56,12.02
2023-12-31,168.08,$16.22,10.36
2023-09-30,142.25,$16.75,8.49
2023-06-30,141.68,$15.54,9.12
2023-03-31,125.96,$13.55,9.3
2022-12-31,128.67,$12.08,10.65
2022-09-30,99.37,$11.84,8.39
2022-06-30,106.14,$12.46,8.52
2022-03-31,127.53,$13.48,9.46
2021-12-31,147.24,$15.35,9.59
2021-09-30,151.31,$15.81,9.57
2021-06-30,142.95,$14.99,9.54
2021-03-31,139.09,$12.59,11.05
2020-12-31,115.28,$8.87,13.0
2020-09-30,86.55,$7.65,11.31
2020-06-30,83.75,$7.41,11.3
2020-03-31,79.31,$8.85,8.96
2019-12-31,122.01,$10.72,11.38
2019-09-30,102.19,$10.13,10.09
2019-06-30,96.39,$9.79,9.85
2019-03-31,86.62,$9.26,9.35
2018-12-31,82.85,$8.98,9.23
2018-09-30,95.11,$8.07,11.79
2018-06-30,87.35,$7.49,11.66
2018-03-31,91.73,$7.02,13.07
2017-12-31,88.75,$6.30,14.09
2017-09-30,78.81,$6.94,11.36
2017-06-30,75.01,$6.76,11.1
2017-03-31,71.68,$6.49,11.04
2016-12-31,70.03,$6.19,11.31
2016-09-30,53.65,$5.80,9.25
2016-06-30,49.68,$5.90,8.42
2016-03-31,47.0,$5.89,7.98
2015-12-31,52.04,$5.99,8.69
2015-09-30,47.71,$5.86,8.14
2015-06-30,52.68,$5.54,9.51
2015-03-31,46.78,$5.46,8.57
2014-12-31,48.02,$5.29,9.08
2014-09-30,45.91,$5.40,8.5
2014-06-30,43.61,$3.87,11.27
2014-03-31,45.67,$4.01,11.39
2013-12-31,43.7,$4.32,10.12
2013-09-30,38.35,$4.41,8.7
2013-06-30,38.89,$5.98,6.5
2013-03-31,34.74,$5.59,6.21
2012-12-31,31.97,$5.31,6.02
2012-09-30,29.22,$4.82,6.06
2012-06-30,25.57,$4.44,5.76
2012-03-31,32.69,$4.50,7.27
2011-12-31,23.47,$4.47,5.25
2011-09-30,21.09,$4.69,4.5
2011-06-30,28.5,$4.68,6.09
2011-03-31,31.92,$4.50,7.09
2010-12-31,29.33,$3.96,7.41
2010-09-30,26.29,$3.66,7.18
2010-06-30,25.25,$2.93,8.62
2009-12-31,28.64,$2.24,12.79
2009-09-30,30.12,$2.24,13.45
