Hilton Worldwide Holdings PE Ratio Historical Data,Hilton Worldwide Holdings PE Ratio Historical Data,Hilton Worldwide Holdings PE Ratio Historical Data,Hilton Worldwide Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,203.24,,44.18
2024-03-31,213.15,$4.60,46.34
2023-12-31,181.82,$4.33,41.99
2023-09-30,149.83,$4.97,30.15
2023-06-30,145.06,$4.79,30.28
2023-03-31,140.25,$4.56,30.76
2022-12-31,125.67,$4.54,27.68
2022-09-30,119.83,$3.85,31.12
2022-06-30,110.59,$3.45,32.05
2022-03-31,150.41,$2.59,58.07
2021-12-31,154.63,$1.45,106.64
2021-09-30,130.95,$0.13,1007.35
2021-06-30,119.57,$-1.01,0.0
2021-03-31,119.86,$-3.02,0.0
2020-12-31,110.29,$-2.57,0.0
2020-09-30,84.57,$-1.16,0.0
2020-06-30,72.81,$0.12,606.73
2020-03-31,67.64,$2.56,26.42
2019-12-31,109.77,$3.04,36.11
2019-09-30,92.01,$3.18,28.93
2019-06-30,96.44,$2.72,35.45
2019-03-31,81.87,$2.54,32.23
2018-12-31,70.6,$2.51,28.13
2018-09-30,79.27,$4.37,18.14
2018-06-30,77.52,$4.38,17.7
2018-03-31,76.99,$4.18,18.42
2017-12-31,77.92,$3.89,20.03
2017-09-30,67.63,$0.11,614.79
2017-06-30,60.08,$0.13,461.82
2017-03-31,56.65,$0.34,166.53
2016-12-31,78.87,$1.05,75.09
2016-09-30,66.29,$4.68,14.16
2016-06-30,64.94,$4.95,13.12
2016-03-31,64.7,$4.71,13.74
2015-12-31,61.28,$4.26,14.38
2015-09-30,65.49,$2.37,27.63
2015-06-30,78.44,$2.16,36.31
2014-12-31,74.29,$2.04,36.41
2014-09-30,70.13,$1.65,42.5
2014-06-30,66.34,$1.53,43.36
