MercadoLibre PE Ratio Historical Data,MercadoLibre PE Ratio Historical Data,MercadoLibre PE Ratio Historical Data,MercadoLibre PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,1693.57,,75.77
2024-03-31,1511.96,$22.35,67.65
2023-12-31,1571.54,$19.54,80.43
2023-09-30,1267.88,$19.54,64.89
2023-06-30,1184.6,$14.94,79.29
2023-03-31,1318.06,$12.21,107.95
2022-12-31,846.24,$9.54,88.7
2022-09-30,827.78,$5.37,154.15
2022-06-30,636.87,$4.73,134.64
2022-03-31,1189.48,$3.67,324.11
2021-12-31,1348.4,$1.69,797.87
2021-09-30,1679.4,$1.59,1056.23
2021-06-30,1557.79,$-0.05,0.0
2021-03-31,1472.14,$-0.31,0.0
2020-12-31,1675.22,$-0.07,0.0
2020-09-30,1082.48,$-0.16,0.0
2020-06-30,985.77,$-3.40,0.0
2020-03-31,488.58,$-4.20,0.0
2019-12-31,571.94,$-3.63,0.0
2019-09-30,551.23,$-2.57,0.0
2019-06-30,611.77,$0.16,3823.56
2019-03-31,507.73,$-0.40,0.0
2018-12-31,292.85,$-0.82,0.0
2018-09-30,340.47,$-2.30,0.0
2018-06-30,298.93,$-1.44,0.0
2018-03-31,356.39,$-1.07,0.0
2017-12-31,314.66,$0.32,983.31
2017-09-30,258.81,$3.01,85.98
2017-06-30,250.62,$3.26,76.88
2017-03-31,211.13,$3.50,60.32
2016-12-31,155.78,$3.08,50.58
2016-09-30,184.37,$2.80,65.84
2016-06-30,140.1,$2.95,47.49
2016-03-31,117.24,$3.03,38.69
2015-12-31,113.6,$2.39,47.53
2015-09-30,90.39,$2.27,39.82
2015-06-30,140.5,$2.00,70.25
2015-03-31,121.4,$0.98,123.87
2014-12-31,126.39,$1.63,77.54
2014-09-30,107.43,$1.80,59.68
2014-06-30,94.19,$1.70,55.4
2014-03-31,93.73,$2.95,31.77
2013-12-31,106.04,$2.66,39.86
2013-09-30,132.54,$2.42,54.77
2013-06-30,105.75,$2.35,45.0
2013-03-31,94.63,$2.25,42.06
2012-12-31,76.87,$2.30,33.42
2012-09-30,80.67,$2.08,38.78
2012-06-30,73.97,$2.09,35.39
2012-03-31,95.29,$1.86,51.23
2011-12-31,77.43,$1.73,44.75
2011-09-30,52.27,$1.62,32.26
2011-06-30,77.04,$1.45,53.13
2011-03-31,79.18,$1.37,57.8
2010-12-31,64.58,$1.27,50.85
2010-09-30,69.95,$1.17,59.78
2010-06-30,50.92,$0.96,53.05
2010-03-31,46.72,$0.85,54.96
2009-12-31,50.26,$0.75,67.02
