EBay PE Ratio Historical Data,EBay PE Ratio Historical Data,EBay PE Ratio Historical Data,EBay PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,54.41,,10.84
2024-03-31,52.78,$5.02,10.51
2023-12-31,43.39,$5.22,8.31
2023-09-30,43.59,$5.06,8.61
2023-06-30,43.94,$2.47,17.79
2023-03-31,43.37,$1.20,36.14
2022-12-31,40.3,$-2.13,0.0
2022-09-30,35.6,$-0.11,0.0
2022-06-30,40.1,$0.42,95.47
2022-03-31,54.85,$17.05,3.22
2021-12-31,63.44,$20.25,3.13
2021-09-30,66.29,$18.21,3.64
2021-06-30,66.64,$18.75,3.55
2021-03-31,57.96,$4.12,14.07
2020-12-31,47.41,$7.71,6.15
2020-09-30,49.0,$7.19,6.81
2020-06-30,49.18,$6.62,7.43
2020-03-31,28.09,$6.03,4.66
2019-12-31,33.59,$2.09,16.07
2019-09-30,36.11,$2.20,16.42
2019-06-30,36.47,$2.56,14.25
2019-03-31,34.16,$2.74,12.47
2018-12-31,25.72,$2.57,10.01
2018-09-30,30.25,$-0.74,0.0
2018-06-30,33.22,$-0.99,0.0
2018-03-31,36.87,$-1.61,0.0
2017-12-31,34.58,$-1.07,0.0
2017-09-30,35.24,$6.74,5.23
2017-06-30,32.0,$6.62,4.83
2017-03-31,30.76,$6.98,4.41
2016-12-31,27.2,$6.45,4.22
2016-09-30,30.15,$1.55,19.45
2016-06-30,21.45,$1.64,13.08
2016-03-31,21.86,$1.33,16.44
2015-12-31,25.18,$1.43,17.61
2015-09-30,22.39,$1.78,12.58
2015-06-30,21.71,$1.87,11.61
2015-03-31,20.79,$2.33,8.92
2014-12-31,20.23,0,0.0
2014-09-30,20.41,$-0.10,0.0
2014-06-30,18.05,$-0.11,0.0
2014-03-31,19.91,$-0.15,0.0
2013-12-31,19.78,$2.18,9.07
2013-09-30,20.11,$2.10,9.58
2013-06-30,18.64,$2.02,9.23
2013-03-31,19.54,$2.06,9.49
2012-12-31,18.38,$1.99,9.24
2012-09-30,17.44,$2.93,5.95
2012-06-30,15.14,$2.86,5.29
2012-03-31,13.3,$2.55,5.22
2011-12-31,10.93,$2.47,4.43
2011-09-30,10.63,$1.38,7.7
2011-06-30,11.63,$1.33,8.75
2011-03-31,11.19,$1.42,7.88
2010-12-31,10.03,$1.36,7.38
2010-09-30,8.8,$1.96,4.49
2010-06-30,7.07,$1.90,3.72
2010-03-31,9.72,$1.84,5.28
2009-12-31,8.48,$1.82,4.66
