Wynn Resorts PE Ratio Historical Data,Wynn Resorts PE Ratio Historical Data,Wynn Resorts PE Ratio Historical Data,Wynn Resorts PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,94.62,,12.96
2024-03-31,101.97,$7.30,13.97
2023-12-31,90.66,$5.98,15.16
2023-09-30,91.69,$0.08,1146.12
2023-06-30,104.51,$-0.16,0.0
2023-03-31,110.49,$-2.14,0.0
2022-12-31,81.42,$-3.71,0.0
2022-09-30,62.23,$-5.54,0.0
2022-06-30,56.26,$-5.72,0.0
2022-03-31,78.73,$-5.73,0.0
2021-12-31,83.96,$-6.67,0.0
2021-09-30,83.67,$-7.66,0.0
2021-06-30,120.75,$-13.31,0.0
2021-03-31,123.78,$-18.13,0.0
2020-12-31,111.4,$-19.37,0.0
2020-09-30,70.9,$-17.52,0.0
2020-06-30,73.54,$-10.45,0.0
2020-03-31,59.43,$-3.60,0.0
2019-12-31,135.91,$1.15,118.18
2019-09-30,105.52,$6.24,16.91
2019-06-30,119.17,$7.71,15.46
2019-03-31,113.74,$8.27,13.75
2018-12-31,93.72,$5.30,17.68
2018-09-30,119.5,$5.66,21.11
2018-06-30,156.54,$5.00,31.31
2018-03-31,169.93,$4.29,39.61
2017-12-31,156.62,$7.27,21.54
2017-09-30,137.89,$3.62,38.09
2017-06-30,123.71,$2.67,46.33
2017-03-31,105.29,$2.63,40.03
2016-12-31,79.07,$2.38,33.22
2016-09-30,88.54,$2.12,41.76
2016-06-30,81.97,$3.02,27.14
2016-03-31,84.02,$2.89,29.07
2015-12-31,61.82,$1.71,36.15
2015-09-30,47.12,$1.92,24.54
2015-06-30,87.1,$3.07,28.37
2015-03-31,110.63,$4.51,24.53
2014-12-31,129.46,$7.17,18.06
2014-09-30,160.54,$8.20,19.58
2014-06-30,177.01,$8.11,21.83
2014-03-31,188.31,$7.39,25.48
2013-12-31,163.71,$7.17,22.83
2013-09-30,130.01,$6.17,21.07
2013-06-30,104.55,$5.49,19.04
2013-03-31,101.52,$5.58,18.19
2012-12-31,90.5,$4.81,18.82
2012-09-30,86.66,$5.23,16.57
2012-06-30,77.45,$5.13,15.1
2012-03-31,92.8,$4.73,19.62
2011-12-31,81.74,$4.89,16.72
2011-09-30,81.19,$4.28,18.97
2011-06-30,100.96,$3.00,33.65
2011-03-31,89.14,$2.45,36.38
2010-12-31,72.79,$1.28,56.87
2010-09-30,56.44,$0.33,171.03
2010-06-30,49.48,$0.88,56.22
2010-03-31,49.04,$0.67,73.2
2009-12-31,37.66,$0.15,251.07
