Public Storage PE Ratio Historical Data,Public Storage PE Ratio Historical Data,Public Storage PE Ratio Historical Data,Public Storage PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,272.39,,24.74
2024-03-31,290.06,$11.01,26.35
2023-12-31,305.0,$11.06,27.58
2023-09-30,263.52,$10.91,24.15
2023-06-30,291.88,$23.09,12.64
2023-03-31,298.99,$23.51,12.72
2022-12-31,274.41,$23.49,11.68
2022-09-30,284.88,$24.60,11.58
2022-06-30,290.65,$11.74,24.76
2022-03-31,360.37,$10.29,35.02
2021-12-31,343.92,$9.87,34.85
2021-09-30,271.26,$8.37,32.41
2021-06-30,272.82,$7.26,37.58
2021-03-31,222.38,$6.70,33.19
2020-12-31,206.41,$6.28,32.87
2020-09-30,197.31,$6.48,30.45
2020-06-30,168.49,$7.00,24.07
2020-03-31,172.64,$7.35,23.49
2019-12-31,183.38,$7.29,25.15
2019-09-30,209.15,$8.46,24.72
2019-06-30,201.48,$8.38,24.04
2019-03-31,182.72,$8.62,21.2
2018-12-31,169.82,$8.54,19.89
2018-09-30,167.58,$7.42,22.58
2018-06-30,186.75,$7.18,26.01
2018-03-31,163.45,$6.77,24.14
2017-12-31,168.76,$6.74,25.04
2017-09-30,171.17,$6.85,24.99
2017-06-30,165.21,$7.02,23.53
2017-03-31,171.78,$7.04,24.4
2016-12-31,173.78,$6.81,25.52
2016-09-30,171.92,$6.52,26.37
2016-06-30,195.32,$6.32,30.9
2016-03-31,209.22,$6.23,33.58
2015-12-31,186.66,$6.07,30.75
2015-09-30,158.36,$5.97,26.53
2015-06-30,136.81,$5.73,23.88
2015-03-31,144.97,$5.47,26.5
2014-12-31,134.93,$5.25,25.7
2014-09-30,120.14,$5.02,23.93
2014-06-30,123.13,$5.02,24.53
2014-03-31,120.08,$4.96,24.21
2013-12-31,106.38,$4.89,21.76
2013-09-30,112.43,$4.70,23.92
2013-06-30,106.52,$4.54,23.46
2013-03-31,104.95,$4.11,25.54
2012-12-31,99.05,$3.90,25.4
2012-09-30,94.35,$3.64,25.92
2012-06-30,97.17,$3.15,30.85
2012-03-31,92.22,$3.15,29.28
2011-12-31,88.99,$3.29,27.05
2011-09-30,73.15,$3.04,24.06
2011-06-30,74.31,$3.42,21.73
2011-03-31,71.68,$3.01,23.81
2010-12-31,65.07,$2.35,27.69
2010-09-30,61.77,$2.34,26.4
2010-06-30,55.53,$2.30,24.14
2010-03-31,57.6,$2.74,21.02
2009-12-31,50.63,$3.48,14.55
