IDEX PE Ratio Historical Data,IDEX PE Ratio Historical Data,IDEX PE Ratio Historical Data,IDEX PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,215.15,,28.23
2024-03-31,243.26,$7.62,31.92
2023-12-31,215.78,$7.73,27.91
2023-09-30,206.1,$8.66,23.8
2023-03-31,227.51,$7.72,29.47
2022-12-31,224.28,$7.71,29.09
2022-09-30,195.73,$7.55,25.92
2022-06-30,177.3,$7.01,25.29
2022-03-31,186.55,$6.71,27.8
2021-12-31,229.39,$6.22,36.88
2023-06-30,212.63,$6.15,34.57
2021-09-30,200.38,$5.65,35.46
2021-06-30,212.55,$5.51,38.57
2021-03-31,201.69,$5.10,39.55
2020-12-31,191.47,$4.95,38.68
2020-09-30,174.86,$4.89,35.76
2020-06-30,151.05,$4.89,30.89
2020-03-31,131.56,$5.44,24.18
2019-12-31,163.37,$5.55,29.44
2019-09-30,155.17,$5.56,27.91
2019-06-30,162.51,$5.56,29.23
2019-03-31,142.79,$5.46,26.15
2018-12-31,118.43,$5.29,22.39
2018-09-30,140.87,$5.23,26.94
2018-06-30,127.22,$4.94,25.75
2018-03-31,132.43,$4.64,28.54
2017-12-31,122.3,$4.36,28.05
2017-09-30,112.24,$3.90,28.78
2017-06-30,104.08,$3.73,27.9
2017-03-31,85.82,$3.64,23.58
2016-12-31,82.35,$3.54,23.26
2016-09-30,85.22,$3.67,23.22
2016-06-30,74.48,$3.78,19.7
2016-03-31,74.88,$3.68,20.35
2015-12-31,68.9,$3.63,18.98
2015-09-30,63.85,$3.52,18.14
2015-06-30,70.08,$3.38,20.73
2015-03-31,67.34,$3.37,19.98
2014-12-31,68.87,$3.44,20.02
2014-09-30,63.76,$3.49,18.27
2014-06-30,70.89,$3.39,20.91
2014-03-31,63.75,$3.27,19.49
2013-12-31,64.38,$3.10,20.77
2013-09-30,56.69,$0.83,68.3
2013-06-30,46.56,$0.65,71.63
2013-03-31,46.01,$0.54,85.21
2012-12-31,39.91,$0.42,95.03
2012-09-30,35.65,$2.44,14.61
2012-06-30,33.09,$2.42,13.67
2012-03-31,35.59,$2.37,15.02
2011-12-31,31.21,$2.33,13.4
2011-09-30,26.08,$2.26,11.54
2011-06-30,38.23,$2.15,17.78
2011-03-31,36.25,$2.04,17.77
2010-12-31,32.37,$1.91,16.95
2010-09-30,29.26,$1.81,16.17
2010-06-30,23.43,$1.71,13.7
2010-03-31,27.02,$1.56,17.32
2009-12-31,25.34,$1.39,18.23
