Hess PE Ratio Historical Data,Hess PE Ratio Historical Data,Hess PE Ratio Historical Data,Hess PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,151.39,,23.18
2024-03-31,152.64,$6.53,23.38
2023-12-31,143.74,$4.50,31.94
2023-09-30,152.1,$5.19,29.31
2023-06-30,134.78,$5.22,25.82
2023-03-31,130.77,$6.98,18.74
2022-12-31,139.67,$7.19,19.43
2022-09-30,107.04,$6.01,17.81
2022-06-30,103.72,$4.71,22.02
2022-03-31,104.47,$2.32,45.03
2021-12-31,71.97,$0.66,109.04
2021-09-30,75.69,$-0.99,0.0
2021-06-30,84.31,$-2.41,0.0
2020-12-31,50.64,$-10.17,0.0
2020-09-30,39.08,$-10.58,0.0
2020-06-30,49.19,$-10.46,0.0
2020-03-31,31.46,$-9.43,0.0
2019-12-31,62.67,$-1.34,0.0
2019-09-30,56.5,$-0.66,0.0
2019-06-30,59.15,$0.16,369.72
2019-03-31,55.8,$-0.30,0.0
2018-12-31,37.36,$-0.77,0.0
2018-09-30,65.71,$-9.29,0.0
2018-06-30,61.18,$-11.45,0.0
2018-03-31,46.1,$-12.43,0.0
2017-12-31,43.01,$-27.70,0.0
2017-09-30,42.25,$-20.25,0.0
2017-06-30,39.29,$-19.52,0.0
2016-12-31,55.19,$-19.78,0.0
2016-09-30,47.32,$-10.56,0.0
2016-06-30,52.76,$-10.51,0.0
2016-03-31,46.02,$-10.20,0.0
2015-12-31,42.17,$-10.47,0.0
2017-03-31,42.94,$-5.41,0.0
2015-09-30,43.33,$-4.37,0.0
2015-06-30,57.63,$-0.08,0.0
2015-03-31,58.26,$4.87,11.96
2014-12-31,63.14,$7.44,8.49
2014-09-30,80.37,$13.23,6.07
2014-06-30,84.05,$11.14,7.54
2014-03-31,70.25,$12.34,5.69
2013-12-31,70.14,$11.96,5.86
2013-09-30,65.15,$9.92,6.57
2013-06-30,55.83,$10.36,5.39
2021-03-31,68.13,$7.84,8.69
2013-03-31,60.04,$8.63,6.96
2012-12-31,44.34,$6.51,6.81
2012-09-30,44.89,$4.46,10.07
2012-06-30,36.24,$3.70,9.8
2012-03-31,49.06,$3.87,12.68
2011-12-31,47.2,$5.01,9.42
2011-09-30,43.51,$5.58,7.8
2011-06-30,61.9,$8.22,7.53
2011-03-31,70.46,$7.59,9.28
2010-12-31,63.21,$6.50,9.72
2010-09-30,48.76,$7.42,6.57
2010-06-30,41.44,$4.95,8.37
2010-03-31,51.4,$4.11,12.51
2009-12-31,49.63,$2.28,21.77
