Akamai Technologies PE Ratio Historical Data,Akamai Technologies PE Ratio Historical Data,Akamai Technologies PE Ratio Historical Data,Akamai Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,94.14,,23.42
2024-03-31,108.76,$4.02,27.05
2023-12-31,118.35,$3.53,33.53
2023-09-30,106.54,$3.32,32.09
2023-06-30,89.87,$2.96,30.36
2023-03-31,78.3,$2.86,27.38
2022-12-31,84.3,$2.97,28.38
2022-09-30,80.32,$3.12,25.74
2022-06-30,91.33,$3.52,25.95
2022-03-31,119.39,$3.72,32.09
2021-12-31,117.04,$3.93,29.78
2021-09-30,104.59,$3.64,28.73
2021-06-30,116.6,$3.51,33.22
2021-03-31,101.9,$3.55,28.7
2020-12-31,104.99,$3.36,31.25
2020-09-30,110.54,$3.41,32.42
2020-06-30,107.09,$3.30,32.45
2020-03-31,91.49,$3.01,30.4
2019-12-31,86.38,$2.91,29.68
2019-09-30,91.38,$2.75,33.23
2019-06-30,80.14,$2.55,31.43
2019-03-31,71.71,$2.11,33.99
2018-12-31,61.08,$1.77,34.51
2018-09-30,73.15,$1.31,55.84
2018-06-30,73.23,$1.02,71.79
2018-03-31,70.98,$1.10,64.53
2017-12-31,65.04,$1.25,52.03
2017-09-30,48.72,$1.66,29.35
2017-06-30,49.81,$1.74,28.63
2017-03-31,59.7,$1.83,32.62
2016-12-31,66.68,$1.79,37.25
2016-09-30,52.99,$1.76,30.11
2016-06-30,55.93,$1.82,30.73
2016-03-31,55.57,$1.77,31.4
2015-12-31,52.63,$1.78,29.57
2015-09-30,69.06,$1.83,37.74
2015-06-30,69.82,$1.84,37.95
2015-03-31,71.05,$1.87,37.99
2014-12-31,62.96,$1.84,34.22
2014-09-30,59.8,$1.74,34.37
2014-06-30,61.06,$1.68,36.35
2014-03-31,58.21,$1.62,35.93
2013-12-31,47.18,$1.61,29.3
2013-09-30,51.7,$1.55,33.35
2013-06-30,42.55,$1.38,30.83
2013-03-31,35.32,$1.28,27.59
2012-12-31,40.91,$1.13,36.2
2012-09-30,38.26,$1.08,35.43
2012-06-30,31.75,$1.04,30.53
2012-03-31,36.7,$1.05,34.95
2011-12-31,32.28,$1.07,30.17
2011-09-30,19.88,$1.01,19.68
2011-06-30,31.47,$0.99,31.79
2011-03-31,38.0,$0.94,40.43
2010-12-31,47.05,$0.89,52.87
2010-09-30,50.18,$0.80,62.73
2010-06-30,40.57,$0.78,52.01
2009-12-31,25.34,$0.78,32.49
2009-09-30,19.68,$0.79,24.91
