Lennar PE Ratio Historical Data,Lennar PE Ratio Historical Data,Lennar PE Ratio Historical Data,Lennar PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,156.38,,10.96
2024-02-29,158.0,$14.27,11.07
2023-11-30,127.08,$13.76,9.24
2023-08-31,117.92,$13.49,8.74
2023-05-31,105.74,$14.65,7.22
2023-02-28,95.17,$16.13,5.9
2022-11-30,86.08,$15.76,5.46
2022-08-31,75.54,$15.12,5.0
2022-05-31,77.89,$14.61,5.33
2022-02-28,86.83,$12.77,6.8
2021-11-30,101.07,$14.28,7.08
2021-08-31,102.98,$13.19,7.81
2021-05-31,94.78,$10.79,8.78
2021-02-28,79.23,$9.79,8.09
2020-11-30,72.22,$7.86,9.19
2020-08-31,71.02,$7.17,9.91
2020-05-31,57.28,$6.64,8.63
2020-02-29,56.99,$6.29,9.06
2019-11-30,56.23,$5.76,9.76
2019-08-31,48.05,$6.05,7.94
2019-05-31,46.75,$5.83,8.02
2019-02-28,45.13,$5.47,8.25
2018-11-30,40.16,$6.02,6.67
2018-08-31,48.51,$4.66,10.41
2018-05-31,48.54,$4.20,11.56
2017-11-30,58.82,$3.42,17.2
2017-08-31,48.46,$3.47,13.97
2017-05-31,48.0,$2.94,16.33
2017-02-28,45.61,$3.04,15.0
2016-11-30,39.73,$3.83,10.37
2018-02-28,53.04,$3.12,17.0
2016-08-31,44.14,$3.80,11.62
2016-05-31,42.49,$3.75,11.33
2016-02-29,39.07,$3.59,10.88
2015-11-30,47.66,$3.46,13.77
2015-08-31,47.33,$3.32,14.26
2015-05-31,43.33,$3.14,13.8
2015-02-28,46.62,$2.96,15.75
2014-11-30,43.82,$2.81,15.59
2014-08-31,36.31,$2.47,14.7
2014-05-31,37.86,$2.23,16.98
2014-02-28,40.58,$2.23,18.2
2013-11-30,33.04,$2.14,15.44
2013-08-31,29.35,$1.97,14.9
2013-05-31,36.24,$1.83,19.8
2013-02-28,35.53,$3.28,10.83
2012-11-30,34.99,$3.10,11.29
2012-08-31,29.8,$2.70,11.04
2012-05-31,25.04,$2.41,10.39
2012-02-29,21.42,$0.42,51.0
2011-11-30,16.84,$0.48,35.08
2011-08-31,13.41,$0.49,27.36
2011-05-31,17.27,$0.54,31.99
2011-02-28,18.31,$0.68,26.92
2010-11-30,13.77,$0.50,27.53
2010-08-31,11.89,$0.52,22.86
2010-05-31,15.59,$-0.61,0.0
2010-02-28,14.76,$-1.58,0.0
2009-11-30,11.37,$-2.52,0.0
