Global Payments PE Ratio Historical Data,Global Payments PE Ratio Historical Data,Global Payments PE Ratio Historical Data,Global Payments PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,102.76,,20.39
2024-03-31,133.66,$5.04,26.52
2023-12-31,126.76,$3.78,33.53
2023-09-30,114.94,$3.34,34.41
2023-06-30,97.94,$3.00,32.65
2023-03-31,104.37,$-0.47,0.0
2022-12-31,98.25,$0.44,223.3
2022-09-30,106.61,$0.22,484.58
2022-06-30,108.96,$0.18,605.31
2022-03-31,134.48,$3.49,38.53
2021-12-31,132.59,$3.28,40.42
2021-09-30,154.26,$3.17,48.66
2021-06-30,183.32,$2.90,63.21
2021-03-31,196.85,$2.13,92.42
2020-12-31,210.16,$1.81,116.11
2020-09-30,173.07,$1.74,99.47
2020-06-30,165.13,$1.77,93.29
2019-12-31,177.31,$2.36,75.13
2019-09-30,154.25,$2.49,61.95
2019-06-30,155.34,$2.43,63.93
2019-03-31,132.43,$2.77,47.81
2018-12-31,100.03,$2.74,36.51
2020-03-31,140.25,$2.84,49.38
2018-09-30,123.56,$3.87,31.93
2018-06-30,108.12,$3.47,31.16
2018-03-31,108.14,$3.23,33.48
2017-12-31,97.19,$2.98,32.62
2017-09-30,92.13,$1.79,51.47
2017-06-30,87.56,$1.08,81.07
2017-03-31,78.2,$1.19,65.72
2016-12-31,67.27,$0.87,77.32
2016-11-30,66.44,$0.55,120.79
2016-09-30,74.38,$0.55,135.24
2016-08-31,73.6,0,0.0
2016-02-29,59.05,0,0.0
2015-11-30,68.62,0,0.0
2015-08-31,53.94,0,0.0
2015-05-31,50.53,0,0.0
2015-02-28,44.46,0,0.0
2014-11-30,41.79,0,0.0
2014-08-31,35.18,0,0.0
2014-05-31,33.16,0,0.0
2014-02-28,34.01,0,0.0
2013-11-30,30.48,0,0.0
2013-08-31,23.03,0,0.0
2013-05-31,23.17,0,0.0
2013-02-28,23.28,0,0.0
2012-11-30,21.19,0,0.0
2012-08-31,20.09,0,0.0
2012-05-31,20.48,0,0.0
2012-02-29,24.88,0,0.0
2011-11-30,21.31,0,0.0
2011-08-31,22.07,0,0.0
2011-05-31,25.01,0,0.0
2011-02-28,23.09,0,0.0
2010-11-30,19.99,0,0.0
2010-08-31,18.09,0,0.0
2010-05-31,20.27,0,0.0
2010-02-28,20.56,0,0.0
2009-11-30,24.61,0,0.0
2009-08-31,20.36,$0.26,78.33
2009-05-31,17.25,$0.26,66.34
2009-02-28,14.71,$0.79,18.61
