UnitedHealth Group PE Ratio Historical Data,UnitedHealth Group PE Ratio Historical Data,UnitedHealth Group PE Ratio Historical Data,UnitedHealth Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,508.17,,31.06
2024-03-31,494.7,$16.36,30.24
2023-12-31,524.4,$23.84,22.0
2023-09-30,500.49,$23.04,21.72
2023-06-30,475.25,$22.35,21.26
2023-03-31,465.42,$21.87,21.28
2022-12-31,520.27,$21.19,24.55
2022-09-30,494.08,$20.42,24.2
2022-06-30,500.9,$19.15,26.16
2022-03-31,495.54,$18.27,27.12
2021-12-31,486.47,$18.08,26.91
2021-09-30,377.33,$16.12,23.41
2021-06-30,385.31,$15.14,25.45
2021-03-31,356.69,$17.59,20.28
2020-12-31,335.01,$16.03,20.9
2020-09-30,296.77,$17.41,17.05
2020-06-30,279.6,$17.78,15.73
2020-03-31,235.39,$14.29,16.47
2019-12-31,276.4,$14.33,19.29
2019-09-30,203.54,$13.75,14.8
2019-06-30,227.48,$13.32,17.08
2019-03-31,229.5,$12.88,17.82
2018-12-31,230.36,$12.19,18.9
2018-09-30,245.22,$12.74,19.25
2018-06-30,225.38,$12.01,18.77
2018-03-31,195.9,$11.35,17.26
2017-12-31,201.15,$10.71,18.78
2017-09-30,178.11,$9.02,19.75
2017-06-30,167.99,$8.54,19.67
2017-03-31,147.97,$8.03,18.43
2016-12-31,143.86,$7.47,19.26
2016-09-30,125.35,$6.77,18.52
2016-06-30,125.84,$6.39,19.69
2016-03-31,114.36,$6.22,18.39
2015-12-31,103.94,$6.01,17.29
2015-09-30,102.06,$6.30,16.2
2015-06-30,106.87,$6.28,17.02
2015-03-31,103.19,$6.06,17.03
2014-12-31,87.89,$5.70,15.42
2014-09-30,74.71,$5.56,13.44
2014-06-30,70.51,$5.46,12.91
2014-03-31,70.39,$5.44,12.94
2013-12-31,64.41,$5.50,11.71
2013-09-30,61.02,$5.29,11.54
2013-06-30,55.59,$5.26,10.57
2013-03-31,48.36,$5.13,9.43
2012-12-31,45.67,$5.28,8.65
2012-09-30,46.47,$5.25,8.85
2012-06-30,48.87,$4.92,9.93
2012-03-31,49.05,$4.81,10.2
2011-12-31,42.06,$4.72,8.91
2011-09-30,38.15,$4.49,8.5
2011-06-30,42.51,$4.46,9.53
2011-03-31,37.13,$4.29,8.65
2010-12-31,29.58,$4.10,7.21
2010-09-30,28.67,$3.97,7.22
2010-06-30,23.1,$3.72,6.21
2010-03-31,26.44,$3.46,7.64
2009-12-31,24.67,$3.24,7.61
