Texas Instruments PE Ratio Historical Data,Texas Instruments PE Ratio Historical Data,Texas Instruments PE Ratio Historical Data,Texas Instruments PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,199.18,,31.07
2024-03-31,172.98,$6.41,26.99
2023-12-31,167.91,$7.06,23.78
2023-09-30,155.19,$7.70,20.16
2023-06-30,174.49,$8.32,20.97
2023-03-31,178.95,$8.90,20.11
2022-12-31,157.82,$9.40,16.79
2022-09-30,146.72,$9.54,15.38
2022-06-30,144.72,$9.14,15.83
2022-03-31,171.64,$8.74,19.64
2021-12-31,175.17,$8.26,21.21
2021-09-30,177.56,$7.79,22.79
2021-06-30,176.68,$7.17,24.64
2021-03-31,172.66,$6.60,26.16
2020-12-31,149.03,$5.97,24.96
2020-09-30,128.76,$5.29,24.34
2020-06-30,113.7,$5.33,21.33
2020-03-31,88.75,$5.21,17.04
2019-12-31,113.13,$5.23,21.63
2019-09-30,113.1,$5.38,21.02
2019-06-30,99.83,$5.47,18.25
2019-03-31,92.27,$5.51,16.75
2018-12-31,81.59,$5.60,14.57
2018-09-30,91.87,$4.67,19.67
2018-06-30,93.88,$4.35,21.58
2018-03-31,87.95,$3.98,22.1
2017-12-31,87.91,$3.60,24.42
2017-09-30,74.97,$4.28,17.52
2017-06-30,63.95,$3.96,16.15
2017-03-31,66.55,$3.69,18.04
2016-12-31,59.9,$3.37,17.77
2016-09-30,57.19,$3.15,18.15
2016-06-30,50.78,$2.97,17.1
2016-03-31,46.24,$2.86,16.17
2015-12-31,43.81,$2.82,15.54
2015-09-30,39.33,$2.78,14.15
2015-06-30,40.63,$2.78,14.62
2015-03-31,44.83,$2.75,16.3
2014-12-31,41.65,$2.58,16.14
2014-09-30,36.89,$2.28,16.18
2014-06-30,36.74,$2.08,17.66
2014-03-31,36.01,$2.04,17.65
2013-12-31,33.3,$1.92,17.34
2013-09-30,30.33,$1.69,17.95
2013-06-30,26.05,$1.80,14.47
2013-03-31,26.31,$1.61,16.34
2012-12-31,22.76,$1.51,15.07
2012-09-30,20.15,$1.53,13.17
2012-06-30,20.86,$1.37,15.22
2012-03-31,24.3,$1.54,15.78
2011-12-31,20.94,$1.87,11.2
2011-09-30,19.07,$2.40,7.95
2011-06-30,23.39,$2.60,9.0
2011-03-31,24.53,$2.66,9.22
2010-12-31,22.98,$2.63,8.74
2010-09-30,19.11,$2.37,8.06
2010-06-30,16.31,$2.08,7.84
2010-03-31,17.07,$1.66,10.28
2009-12-31,18.08,$1.15,15.73
