Crown Castle PE Ratio Historical Data,Crown Castle PE Ratio Historical Data,Crown Castle PE Ratio Historical Data,Crown Castle PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,98.12,,30.66
2024-03-31,105.83,$3.20,33.07
2023-12-31,113.52,$3.46,32.81
2023-09-30,89.47,$3.58,24.99
2023-06-30,109.04,$3.94,27.68
2023-03-31,126.36,$3.86,32.74
2022-12-31,126.55,$3.86,32.78
2022-09-30,133.34,$3.72,35.84
2022-06-30,153.96,$3.56,43.25
2022-03-31,167.24,$3.36,49.77
2021-12-31,187.51,$2.67,70.23
2021-09-30,154.53,$3.03,51.0
2021-06-30,172.73,$2.60,66.44
2021-03-31,151.36,$2.24,67.57
2020-12-31,138.82,$2.34,59.32
2020-09-30,143.96,$1.60,89.98
2020-06-30,143.62,$1.80,79.79
2020-03-31,123.01,$1.91,64.4
2019-12-31,120.08,$1.97,60.95
2019-09-30,116.37,$1.98,58.77
2019-06-30,108.24,$1.73,62.57
2019-03-31,105.39,$1.57,67.13
2018-12-31,88.64,$1.34,66.15
2018-09-30,89.96,$1.07,84.08
2018-06-30,86.32,$0.95,90.87
2018-03-31,86.85,$0.90,96.51
2017-12-31,87.13,$1.02,85.42
2017-09-30,77.73,$1.20,64.78
2017-06-30,77.19,$1.25,61.75
2017-03-31,72.1,$1.16,62.16
2016-12-31,65.55,$0.94,69.73
2016-09-30,70.39,$0.98,71.83
2016-06-30,75.06,$1.00,75.06
2016-03-31,63.41,$4.20,15.1
2015-12-31,62.72,$4.43,14.16
2015-09-30,56.64,$4.45,12.73
2015-06-30,57.07,$4.46,12.8
2015-03-31,58.09,$1.11,52.33
2014-12-31,54.86,$1.04,52.75
2014-09-30,55.53,$0.52,106.79
2014-06-30,51.21,$0.39,131.31
2014-03-31,50.88,$0.50,101.76
2013-12-31,50.64,$0.28,180.85
2013-09-30,50.36,$0.32,157.38
2013-06-30,49.92,$0.30,166.4
2013-03-31,48.02,$0.52,92.35
2012-12-31,49.76,$0.64,77.75
2012-09-30,44.2,$0.87,50.81
2012-06-30,40.45,$0.88,45.97
2012-03-31,36.78,$0.57,64.53
2011-12-31,30.89,$0.52,59.41
2011-09-30,28.05,$0.48,58.43
2011-06-30,28.13,$-0.16,0.0
2011-03-31,29.34,$-0.61,0.0
2010-12-31,30.23,$-1.16,0.0
2010-09-30,30.45,$-1.24,0.0
2010-06-30,25.69,$-0.88,0.0
2010-03-31,26.36,$-0.93,0.0
2009-12-31,26.92,$-0.48,0.0
