Mid-America Apartment Communities PE Ratio Historical Data,Mid-America Apartment Communities PE Ratio Historical Data,Mid-America Apartment Communities PE Ratio Historical Data,Mid-America Apartment Communities PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,133.2,,27.92
2024-03-31,130.09,$4.77,27.27
2023-12-31,131.49,$4.71,27.92
2023-09-30,124.49,$5.01,24.85
2023-06-30,145.64,$5.12,28.44
2023-03-31,143.49,$5.70,25.17
2022-12-31,147.85,$5.49,26.93
2022-09-30,144.81,$5.42,26.72
2022-06-30,161.89,$5.10,31.74
2022-03-31,193.1,$5.16,37.42
2021-12-31,210.49,$4.61,45.66
2021-09-30,170.44,$3.73,45.7
2021-06-30,152.85,$3.52,43.42
2021-03-31,130.11,$2.29,56.82
2020-12-31,113.29,$2.20,51.49
2020-09-30,102.85,$2.78,37.0
2020-06-30,100.82,$2.94,34.29
2020-03-31,89.8,$2.82,31.84
2019-12-31,114.06,$3.06,37.27
2019-09-30,111.64,$2.29,48.75
2019-06-30,100.33,$2.07,48.47
2019-03-31,92.34,$2.06,44.83
2018-12-31,80.03,$1.93,41.47
2018-09-30,82.97,$2.48,33.46
2018-06-30,82.61,$3.02,27.35
2018-03-31,74.12,$2.92,25.38
2017-12-31,80.88,$2.86,28.28
2017-09-30,85.28,$2.22,38.41
2017-06-30,83.35,$2.34,35.62
2017-03-31,79.8,$2.49,32.05
2016-12-31,76.11,$2.71,28.08
2016-09-30,72.37,$2.84,25.48
2016-06-30,81.31,$2.94,27.66
2016-03-31,77.47,$4.18,18.53
2015-12-31,68.2,$4.41,15.46
2015-09-30,60.92,$4.30,14.17
2015-06-30,53.63,$3.97,13.51
2015-03-31,56.34,$2.56,22.01
2014-12-31,53.93,$1.95,27.66
2014-09-30,46.89,$1.37,34.23
2014-06-30,51.66,$1.52,33.99
2014-03-31,47.76,$2.49,19.18
2013-12-31,42.0,$2.79,15.05
2013-09-30,42.74,$3.43,12.46
2013-06-30,45.87,$3.13,14.65
2013-03-31,46.28,$2.45,18.89
2012-12-31,42.94,$2.55,16.84
2012-09-30,42.86,$2.52,17.01
2012-06-30,44.35,$2.15,20.63
2012-03-31,43.13,$1.66,25.98
2011-12-31,39.82,$1.30,30.63
2011-09-30,37.93,$1.01,37.55
2011-06-30,42.12,$0.75,56.15
2011-03-31,39.68,$0.59,67.25
2010-12-31,38.84,$0.56,69.36
2010-09-30,35.3,$0.57,61.93
2010-06-30,30.82,$0.58,53.13
2010-03-31,30.65,$0.79,38.79
2009-12-31,28.21,$0.86,32.8
