Verizon PE Ratio Historical Data,Verizon PE Ratio Historical Data,Verizon PE Ratio Historical Data,Verizon PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,39.74,,14.83
2024-03-31,41.29,$2.68,15.41
2023-12-31,36.47,$3.15,11.58
2023-09-30,30.69,$4.96,6.19
2023-06-30,34.59,$5.07,6.82
2022-12-31,35.49,$5.06,7.01
2022-09-30,33.63,$4.61,7.29
2022-06-30,44.38,$4.61,9.63
2022-03-31,44.01,$4.92,8.95
2021-12-31,44.37,$5.23,8.48
2023-03-31,35.59,$5.39,6.6
2021-09-30,45.58,$5.33,8.55
2021-06-30,46.76,$4.83,9.68
2021-03-31,48.01,$4.66,10.3
2020-12-31,47.99,$4.64,10.34
2020-09-30,48.08,$4.48,10.73
2019-12-31,48.04,$4.65,10.33
2019-09-30,46.74,$3.89,12.02
2019-06-30,43.78,$3.77,11.61
2019-03-31,44.84,$4.01,11.18
2018-12-31,42.19,$3.79,11.13
2020-06-30,44.05,$4.43,9.94
2018-09-30,39.63,$7.86,5.04
2018-06-30,36.92,$7.56,4.88
2018-03-31,34.66,$7.63,4.54
2017-12-31,37.93,$7.36,5.15
2017-09-30,35.04,$3.90,8.98
2017-06-30,31.2,$3.90,8.0
2017-03-31,33.66,$3.00,11.22
2016-12-31,36.46,$3.22,11.32
2016-09-30,35.1,$3.44,10.2
2016-06-30,37.33,$3.54,10.55
2016-03-31,35.78,$4.41,8.11
2015-12-31,30.2,$4.37,6.91
2015-09-30,28.07,$2.51,11.18
2015-06-30,29.72,$2.41,12.33
2015-03-31,30.67,$2.38,12.88
2014-12-31,29.15,$2.51,11.61
2014-09-30,30.81,$4.81,6.41
2014-06-30,29.83,$4.70,6.35
2014-03-31,28.69,$4.47,6.42
2013-12-31,29.32,$4.00,7.33
2013-09-30,27.53,$0.76,36.22
2013-06-30,29.39,$0.54,54.43
2013-03-31,28.4,$0.40,71.01
2012-12-31,24.71,$0.31,79.71
2012-09-30,25.74,$1.08,23.84
2012-06-30,24.82,$1.01,24.58
2012-03-31,21.08,$0.94,22.42
2011-12-31,21.83,$0.86,25.39
2011-09-30,19.75,$2.50,7.9
2011-06-30,19.72,$2.32,8.5
2011-03-31,20.16,$1.68,12.0
2010-12-31,18.47,$1.31,14.1
2010-09-30,16.58,$0.15,110.52
2010-06-30,13.1,$0.25,52.4
2010-03-31,14.28,$0.84,17.0
2009-12-31,15.03,$1.28,11.74
2009-09-30,13.51,$2.51,5.38
