APA PE Ratio Historical Data,APA PE Ratio Historical Data,APA PE Ratio Historical Data,APA PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,29.36,,3.28
2024-03-31,34.38,$8.94,3.85
2023-12-31,35.88,$9.28,3.87
2023-09-30,41.1,$4.88,8.42
2023-06-30,34.17,$4.67,7.32
2023-03-31,36.06,$6.15,5.86
2022-12-31,46.68,$10.80,4.32
2022-09-30,34.19,$10.47,3.27
2022-06-30,34.77,$8.89,3.91
2022-03-31,41.05,$7.00,5.86
2021-12-31,26.6,$2.59,10.27
2021-09-30,21.15,$1.50,14.1
2021-06-30,21.32,$1.78,11.98
2021-03-31,17.62,$-0.06,0.0
2020-12-31,13.95,$-8.97,0.0
2020-09-30,9.28,$-9.38,0.0
2020-06-30,13.21,$-10.32,0.0
2019-12-31,24.77,$-9.42,0.0
2019-09-30,24.51,$-2.53,0.0
2019-06-30,27.45,$-13.94,0.0
2019-03-31,32.62,$-12.77,0.0
2018-12-31,24.51,$-12.14,0.0
2020-03-31,4.08,$-10.76,0.0
2018-09-30,44.25,$2.29,19.32
2018-06-30,43.16,$2.24,19.27
2018-03-31,35.31,$3.23,10.93
2017-12-31,38.53,$3.41,11.3
2017-09-30,41.55,$1.74,23.88
2017-06-30,43.26,$-0.02,0.0
2017-03-31,46.15,$-2.17,0.0
2016-12-31,56.77,$-4.02,0.0
2016-09-30,56.91,$-22.61,0.0
2016-06-30,49.38,$-35.96,0.0
2016-03-31,43.1,$-50.14,0.0
2015-12-31,38.98,$-61.19,0.0
2015-09-30,34.14,$-54.90,0.0
2015-06-30,49.99,$-43.45,0.0
2015-03-31,52.15,$-27.31,0.0
2014-12-31,53.94,$-14.37,0.0
2014-09-30,80.52,$-1.16,0.0
2014-06-30,86.1,$3.09,27.86
2014-03-31,70.77,$4.32,16.38
2013-12-31,73.15,$5.48,13.35
2013-09-30,72.31,$6.69,10.81
2013-06-30,71.02,$6.35,11.19
2013-03-31,65.19,$4.67,13.96
2012-12-31,66.18,$4.91,13.48
2012-09-30,72.76,$6.25,11.64
2012-06-30,73.81,$8.34,8.85
2012-03-31,84.2,$10.65,7.91
2011-12-31,75.82,$11.51,6.59
2011-09-30,67.05,$10.30,6.51
2011-06-30,102.98,$9.92,10.38
2011-03-31,109.13,$9.28,11.76
2010-12-31,99.27,$8.50,11.68
2010-09-30,81.28,$8.45,9.62
2010-06-30,69.88,$7.63,9.16
2010-03-31,84.13,$6.41,13.12
2009-12-31,85.39,$-0.92,0.0
