Caterpillar PE Ratio Historical Data,Caterpillar PE Ratio Historical Data,Caterpillar PE Ratio Historical Data,Caterpillar PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,348.9,,15.75
2024-03-31,365.09,$22.15,16.48
2023-12-31,293.25,$20.14,14.56
2023-09-30,269.36,$17.65,15.26
2023-06-30,241.58,$16.07,15.03
2023-03-31,223.46,$13.53,16.52
2022-12-31,232.79,$12.65,18.4
2022-09-30,158.45,$13.77,11.51
2022-06-30,171.48,$12.50,13.72
2022-03-31,212.65,$11.93,17.82
2021-12-31,196.32,$11.84,16.58
2021-09-30,181.29,$9.35,19.39
2021-06-30,204.41,$7.97,25.65
2021-03-31,216.81,$6.25,34.69
2020-12-31,169.3,$5.46,31.01
2020-09-30,137.89,$6.01,22.94
2020-06-30,116.07,$7.45,15.58
2020-03-31,105.54,$9.44,11.18
2019-12-31,133.39,$10.71,12.45
2019-09-30,113.19,$10.52,10.76
2019-06-30,121.22,$10.74,11.29
2019-03-31,119.79,$10.73,11.16
2018-12-31,111.64,$10.22,10.92
2018-09-30,133.11,$6.26,21.26
2018-06-30,117.7,$5.15,22.85
2018-03-31,127.21,$3.68,34.57
2017-12-31,135.39,$1.26,107.45
2017-09-30,106.52,$1.44,73.97
2017-06-30,91.12,$0.15,607.47
2017-03-31,78.02,$-0.27,0.0
2016-12-31,77.37,$-0.13,0.0
2016-09-30,73.4,$1.72,42.68
2016-06-30,62.09,$1.86,33.38
2016-03-31,62.08,$2.09,29.7
2015-12-31,54.42,$3.44,15.82
2015-09-30,51.77,$4.82,10.74
2015-06-30,66.58,$5.83,11.42
2015-03-31,62.3,$6.24,9.98
2014-12-31,70.67,$5.87,12.04
2014-09-30,75.89,$6.18,12.28
2014-06-30,82.74,$6.00,13.79
2014-03-31,75.22,$5.88,12.79
2013-12-31,68.3,$5.75,11.88
2013-09-30,62.29,$5.25,11.86
2013-06-30,61.18,$6.34,9.65
2013-03-31,64.09,$7.43,8.63
2012-12-31,66.03,$8.49,7.78
2012-09-30,62.66,$9.77,6.41
2012-06-30,61.45,$8.94,6.87
2012-03-31,76.76,$7.92,9.69
2011-12-31,65.0,$7.39,8.8
2011-09-30,52.69,$6.54,8.06
2011-06-30,75.65,$6.05,12.5
2011-03-31,78.8,$5.62,14.02
2010-12-31,65.98,$4.14,15.94
2010-09-30,55.12,$3.03,18.19
2010-06-30,41.79,$2.45,17.06
2010-03-31,43.46,$1.96,22.17
2009-12-31,39.13,$1.41,27.75
