Broadridge Financial Solutions PE Ratio Historical Data,Broadridge Financial Solutions PE Ratio Historical Data,Broadridge Financial Solutions PE Ratio Historical Data,Broadridge Financial Solutions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,200.54,,34.22
2024-03-31,204.86,$5.86,34.96
2023-12-31,204.93,$5.74,35.7
2023-09-30,177.6,$5.63,31.55
2023-06-30,163.59,$5.29,30.93
2023-03-31,144.11,$4.66,30.92
2022-12-31,131.18,$4.48,29.28
2022-09-30,140.42,$4.40,31.91
2022-06-30,138.1,$4.55,30.35
2022-03-31,150.14,$4.66,32.22
2021-12-31,175.49,$4.57,38.4
2021-09-30,159.38,$4.65,34.28
2021-06-30,153.92,$4.64,33.17
2021-03-31,145.36,$4.41,32.96
2020-12-31,144.88,$4.44,32.63
2020-09-30,124.34,$4.05,30.7
2020-06-30,118.37,$3.97,29.82
2020-03-31,88.55,$3.55,24.94
2019-12-31,114.71,$3.57,32.13
2019-09-30,115.02,$3.90,29.49
2019-06-30,117.51,$5.14,22.86
2019-03-31,95.08,$4.49,21.18
2018-12-31,87.85,$3.56,24.68
2018-06-30,104.16,$3.56,29.26
2018-03-31,98.95,$3.41,29.02
2017-12-31,81.44,$3.14,25.93
2017-09-30,72.36,$2.87,25.21
2017-06-30,67.34,$2.73,24.67
2017-03-31,60.3,$2.56,23.55
2016-12-31,58.55,$2.45,23.9
2016-09-30,59.56,$2.53,23.54
2016-06-30,57.02,$2.53,22.54
2016-03-31,51.62,$2.48,20.82
2015-12-31,46.52,$2.39,19.46
2015-09-30,47.65,$2.34,20.36
2015-06-30,42.81,$2.32,18.45
2015-03-31,46.84,$2.10,22.31
2014-12-31,39.12,$2.08,18.81
2014-09-30,35.05,$2.02,17.35
2014-06-30,34.84,$2.12,16.43
2014-03-31,30.91,$2.08,14.86
2013-12-31,32.71,$2.02,16.19
2013-09-30,26.14,$1.93,13.54
2013-06-30,21.73,$1.71,12.71
2013-03-31,20.17,$1.27,15.88
2012-12-31,18.44,$1.05,17.56
2012-09-30,18.66,$0.97,19.24
2012-06-30,16.89,$1.47,11.49
2012-03-31,18.84,$0.95,19.83
2011-12-31,17.65,$1.74,10.14
2018-09-30,119.84,$1.92,62.42
2011-09-30,15.65,$1.36,11.51
2011-06-30,18.56,$1.33,13.95
2011-03-31,17.37,$1.17,14.85
2010-12-31,16.68,$1.12,14.89
2010-09-30,17.27,$1.28,13.49
2010-06-30,14.29,$1.37,10.43
2010-03-31,15.93,$1.44,11.06
2009-12-31,16.7,$1.55,10.77
